"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2014","Latvia","LVA","United States of America","USA","96.130501","274.57803"
"2014","Latvia","LVA","Canada","CAN","17.007799","33.011669"
"2014","Latvia","LVA","Bahamas","BHS","0","0.41415"
"2014","Latvia","LVA","Cuba","CUB","0","0.04961"
"2014","Latvia","LVA","Haiti","HTI","0.0307","17.879511"
"2014","Latvia","LVA","Dominican Republic","DOM","0.1684","0.44297001"
"2014","Latvia","LVA","Jamaica","JAM","0","0.01518"
"2014","Latvia","LVA","Trinidad and Tobago","TTO","0","0.025739999"
"2014","Latvia","LVA","Barbados","BRB","0","0.08382"
"2014","Latvia","LVA","Dominica","DMA","0.0065","0.020570001"
"2014","Latvia","LVA","Grenada","GRD","0","0"
"2014","Latvia","LVA","St. Lucia","LCA","0","0"
"2014","Latvia","LVA","St. Vincent and the Grenadines","VCT","0","0.20328"
"2014","Latvia","LVA","Antigua & Barbuda","ATG","0","0.89670002"
"2014","Latvia","LVA","St. Kitts and Nevis","KNA","0","0.86910999"
"2014","Latvia","LVA","Mexico","MEX","6.8000998","3.8961"
"2014","Latvia","LVA","Belize","BLZ","0.0133","1.37423"
"2014","Latvia","LVA","Guatemala","GTM","0.0002","18.791"
"2014","Latvia","LVA","Honduras","HND","0.0015","5.0509772"
"2014","Latvia","LVA","El Salvador","SLV","0.0308","0.156616"
"2014","Latvia","LVA","Nicaragua","NIC","0.045400001","0.073370002"
"2014","Latvia","LVA","Costa Rica","CRI","0.15970001","0.54516"
"2014","Latvia","LVA","Panama","PAN","0.0207","0.25268799"
"2014","Latvia","LVA","Colombia","COL","0.1393","2.245682"
"2014","Latvia","LVA","Venezuela","VEN","0.0004","0.14498"
"2014","Latvia","LVA","Guyana","GUY","0","0"
"2014","Latvia","LVA","Suriname","SUR","0","0.0264"
"2014","Latvia","LVA","Ecuador","ECU","0.042599998","12.400098"
"2014","Latvia","LVA","Peru","PER","0.088699996","5.7027001"
"2014","Latvia","LVA","Brazil","BRA","4.6961999","11.199612"
"2014","Latvia","LVA","Bolivia","BOL","0.1991","1.3903331"
"2014","Latvia","LVA","Paraguay","PRY","0.0559","0.336831"
"2014","Latvia","LVA","Chile","CHL","4.658","5.2336702"
"2014","Latvia","LVA","Argentina","ARG","13.035","2.40856"
"2014","Latvia","LVA","Uruguay","URY","0.1384","0.52601999"
"2014","Latvia","LVA","United Kingdom","GBR","427.13339","659.34528"
"2014","Latvia","LVA","Ireland","IRL","49.7691","34.001499"
"2014","Latvia","LVA","Netherlands","NLD","666.10089","623.95502"
"2014","Latvia","LVA","Belgium","BEL","248.7999","158.8598"
"2014","Latvia","LVA","Luxembourg","LUX","17.1723","7.6928"
"2014","Latvia","LVA","France","FRA","433.02151","450.73099"
"2014","Latvia","LVA","Monaco","MCO","-9","-9"
"2014","Latvia","LVA","Liechtenstein","LIE","-9","-9"
"2014","Latvia","LVA","Switzerland","CHE","122.6835","54.472858"
"2014","Latvia","LVA","Spain","ESP","273.8158","828.57642"
"2014","Latvia","LVA","Andorra","AND","-9","-9"
"2014","Latvia","LVA","Portugal","PRT","41.294399","7.5874"
"2014","Latvia","LVA","Germany","DEU","2011.3575","835.9079"
"2014","Latvia","LVA","Poland","POL","1889.9264","487.47781"
"2014","Latvia","LVA","Austria","AUT","243.30611","39.0093"
"2014","Latvia","LVA","Hungary","HUN","179.24651","34.8368"
"2014","Latvia","LVA","Czech Republic","CZE","257.59821","125.0904"
"2014","Latvia","LVA","Slovakia","SVK","148.6078","67.374001"
"2014","Latvia","LVA","Italy","ITA","706.5675","143.3511"
"2014","Latvia","LVA","San Marino","SMR","-9","-9"
"2014","Latvia","LVA","Malta","MLT","2.915","4.4397998"
"2014","Latvia","LVA","Albania","ALB","0.053599998","1.15962"
"2014","Latvia","LVA","Montenegro","MNE","0.0135","0.13463999"
"2014","Latvia","LVA","Macedonia","MKD","2.1426001","3.69171"
"2014","Latvia","LVA","Croatia","HRV","11.5489","5.723"
"2014","Latvia","LVA","Yugoslavia","YUG","-9","-9"
"2014","Latvia","LVA","Bosnia and Herzegovina","BIH","0.37509999","5.2377601"
"2014","Latvia","LVA","Kosovo","KOS","0","0.22579999"
"2014","Latvia","LVA","Slovenia","SVN","53.243401","13.7593"
"2014","Latvia","LVA","Greece","GRC","14.1597","22.769699"
"2014","Latvia","LVA","Cyprus","CYP","33.174999","5.9565001"
"2014","Latvia","LVA","Bulgaria","BGR","31.859699","16.1572"
"2014","Latvia","LVA","Moldova","MDA","11.5393","18.32336"
