"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1991","Finland","FIN","United States of America","USA","1492.4546","1173.3"
"1991","Finland","FIN","Canada","CAN","135.83618","211.06998"
"1991","Finland","FIN","Bahamas","BHS","0.030650185","69.830849"
"1991","Finland","FIN","Cuba","CUB","18.693449","3.4196713"
"1991","Finland","FIN","Haiti","HTI","0.15070981","0.13115554"
"1991","Finland","FIN","Dominican Republic","DOM","16.340771","3.3014197"
"1991","Finland","FIN","Jamaica","JAM","0.20570211","2.46035"
"1991","Finland","FIN","Trinidad and Tobago","TTO","0.053171296","1.1503716"
"1991","Finland","FIN","Barbados","BRB","0.054800794","1.84697"
"1991","Finland","FIN","Dominica","DMA","0.068380736","0.29800001"
"1991","Finland","FIN","Grenada","GRD","0.000483676","0"
"1991","Finland","FIN","St. Lucia","LCA","0.00576021","0.1382217"
"1991","Finland","FIN","St. Vincent and the Grenadines","VCT","0.000967352","0.012222222"
"1991","Finland","FIN","Antigua & Barbuda","ATG","0.037680719","0.057374489"
"1991","Finland","FIN","St. Kitts and Nevis","KNA","0.002727893","0"
"1991","Finland","FIN","Mexico","MEX","7.2322669","62.6241"
"1991","Finland","FIN","Belize","BLZ","0.013521213","0.023499999"
"1991","Finland","FIN","Guatemala","GTM","12.66808","1.5775"
"1991","Finland","FIN","Honduras","HND","8.2450266","6.01331"
"1991","Finland","FIN","El Salvador","SLV","0.99821264","0.84935552"
"1991","Finland","FIN","Nicaragua","NIC","0.86254162","11"
"1991","Finland","FIN","Costa Rica","CRI","21.475407","2.8852"
"1991","Finland","FIN","Panama","PAN","22.482145","0.710329"
"1991","Finland","FIN","Colombia","COL","99.693832","14.986"
"1991","Finland","FIN","Venezuela","VEN","15.683397","28.5791"
"1991","Finland","FIN","Guyana","GUY","0","0.076532505"
"1991","Finland","FIN","Suriname","SUR","0.014081644","0.12380964"
"1991","Finland","FIN","Ecuador","ECU","11.743277","2.1271"
"1991","Finland","FIN","Peru","PER","2.5307422","3.2549"
"1991","Finland","FIN","Brazil","BRA","117.0842","145.0097"
"1991","Finland","FIN","Bolivia","BOL","0.29450184","4.9146972"
"1991","Finland","FIN","Paraguay","PRY","1.3746021","0.080300003"
"1991","Finland","FIN","Chile","CHL","30.10767","44.799999"
"1991","Finland","FIN","Argentina","ARG","39.743458","39.993999"
"1991","Finland","FIN","Uruguay","URY","3.4099572","7.1170001"
"1991","Finland","FIN","United Kingdom","GBR","1675.0405","2694.3035"
"1991","Finland","FIN","Ireland","IRL","137.93584","160.64229"
"1991","Finland","FIN","Netherlands","NLD","737.87927","1255.6992"
"1991","Finland","FIN","Belgium","BEL","526.67383","595.31348"
"1991","Finland","FIN","Luxembourg","LUX","33.226231","37.556499"
"1991","Finland","FIN","France","FRA","911.91998","1590.5981"
"1991","Finland","FIN","Liechtenstein","LIE","-9","-9"
"1991","Finland","FIN","Switzerland","CHE","391.21979","456.94339"
"1991","Finland","FIN","Spain","ESP","251.68727","687.21887"
"1991","Finland","FIN","Portugal","PRT","304.4614","200.54022"
"1991","Finland","FIN","Germany","DEU","3680.0645","3981.4739"
"1991","Finland","FIN","Poland","POL","268.6424","180.83762"
"1991","Finland","FIN","Austria","AUT","262.5228","343.19351"
"1991","Finland","FIN","Hungary","HUN","87.89032","81.5"
"1991","Finland","FIN","Czechoslovakia","CHESLO","91.833275","57.280975"
"1991","Finland","FIN","Italy","ITA","911.08716","981.63513"
"1991","Finland","FIN","Malta","MLT","2.0089095","2.5132308"
