"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1992","Albania","ALB","United States of America","USA","39.82","5.6999998"
"1992","Albania","ALB","Canada","CAN","0.17506509","0.003476376"
"1992","Albania","ALB","Bahamas","BHS","-9","-9"
"1992","Albania","ALB","Cuba","CUB","0","0"
"1992","Albania","ALB","Haiti","HTI","-9","-9"
"1992","Albania","ALB","Dominican Republic","DOM","-9","0"
"1992","Albania","ALB","Jamaica","JAM","-9","-9"
"1992","Albania","ALB","Trinidad and Tobago","TTO","0","0.7605539"
"1992","Albania","ALB","Barbados","BRB","0","0"
"1992","Albania","ALB","Dominica","DMA","-9","-9"
"1992","Albania","ALB","Grenada","GRD","-9","-9"
"1992","Albania","ALB","St. Lucia","LCA","0","0"
"1992","Albania","ALB","St. Vincent and the Grenadines","VCT","-9","0"
"1992","Albania","ALB","Antigua & Barbuda","ATG","-9","-9"
"1992","Albania","ALB","St. Kitts and Nevis","KNA","-9","-9"
"1992","Albania","ALB","Mexico","MEX","0","0"
"1992","Albania","ALB","Belize","BLZ","-9","-9"
"1992","Albania","ALB","Guatemala","GTM","-9","0.028000001"
"1992","Albania","ALB","Honduras","HND","0","0.001"
"1992","Albania","ALB","El Salvador","SLV","0","0"
"1992","Albania","ALB","Nicaragua","NIC","0","0"
"1992","Albania","ALB","Costa Rica","CRI","0","0"
"1992","Albania","ALB","Panama","PAN","-9","0"
"1992","Albania","ALB","Colombia","COL","0.062700003","0"
"1992","Albania","ALB","Venezuela","VEN","0","0"
"1992","Albania","ALB","Guyana","GUY","-9","-9"
"1992","Albania","ALB","Suriname","SUR","0","0.001680674"
"1992","Albania","ALB","Ecuador","ECU","0","0"
"1992","Albania","ALB","Peru","PER","0","0"
"1992","Albania","ALB","Brazil","BRA","0","0"
"1992","Albania","ALB","Bolivia","BOL","-9","3.7053599"
"1992","Albania","ALB","Paraguay","PRY","0","0"
"1992","Albania","ALB","Chile","CHL","0","0.315"
"1992","Albania","ALB","Argentina","ARG","0.1771","0"
"1992","Albania","ALB","Uruguay","URY","-9","0"
"1992","Albania","ALB","United Kingdom","GBR","5.2835479","0.50844854"
