"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1993","Bulgaria","BGR","United States of America","USA","126.83","171.89999"
"1993","Bulgaria","BGR","Canada","CAN","7.5984669","21.773458"
"1993","Bulgaria","BGR","Bahamas","BHS","0","0"
"1993","Bulgaria","BGR","Cuba","CUB","27.55088","0"
"1993","Bulgaria","BGR","Haiti","HTI","0","0"
"1993","Bulgaria","BGR","Dominican Republic","DOM","0","0"
"1993","Bulgaria","BGR","Jamaica","JAM","0","0"
"1993","Bulgaria","BGR","Trinidad and Tobago","TTO","0.000376731","0.000373755"
"1993","Bulgaria","BGR","Barbados","BRB","0","0.001"
"1993","Bulgaria","BGR","Dominica","DMA","0","0"
"1993","Bulgaria","BGR","Grenada","GRD","0","0"
"1993","Bulgaria","BGR","St. Lucia","LCA","0","0.025851851"
"1993","Bulgaria","BGR","St. Vincent and the Grenadines","VCT","0","0"
"1993","Bulgaria","BGR","Antigua & Barbuda","ATG","0","0"
"1993","Bulgaria","BGR","St. Kitts and Nevis","KNA","-9","-9"
"1993","Bulgaria","BGR","Mexico","MEX","1.5972","8.7559996"
"1993","Bulgaria","BGR","Belize","BLZ","0","0.0015"
"1993","Bulgaria","BGR","Guatemala","GTM","0","0"
"1993","Bulgaria","BGR","Honduras","HND","0","0"
"1993","Bulgaria","BGR","El Salvador","SLV","0","0.023901155"
"1993","Bulgaria","BGR","Nicaragua","NIC","0","2.4135363"
"1993","Bulgaria","BGR","Costa Rica","CRI","0","0.024"
"1993","Bulgaria","BGR","Panama","PAN","0","4.6089902"
"1993","Bulgaria","BGR","Colombia","COL","0.132","5.8930001"
"1993","Bulgaria","BGR","Venezuela","VEN","3.7037001","0.2277"
"1993","Bulgaria","BGR","Guyana","GUY","0","2.3863015"
"1993","Bulgaria","BGR","Suriname","SUR","0","0"
"1993","Bulgaria","BGR","Ecuador","ECU","2.8633001","0.259"
"1993","Bulgaria","BGR","Peru","PER","3.4430001","2.8973999"
"1993","Bulgaria","BGR","Brazil","BRA","14.0096","13.8204"
"1993","Bulgaria","BGR","Bolivia","BOL","0","0.01364"
"1993","Bulgaria","BGR","Paraguay","PRY","0","0.0451"
"1993","Bulgaria","BGR","Chile","CHL","0.073700003","0.98500001"
"1993","Bulgaria","BGR","Argentina","ARG","16.0138","5.1719999"
"1993","Bulgaria","BGR","Uruguay","URY","0.069300003","1.4400001"
"1993","Bulgaria","BGR","United Kingdom","GBR","139.48384","114.37865"
"1993","Bulgaria","BGR","Ireland","IRL","3.3416958","1.3534198"
"1993","Bulgaria","BGR","Netherlands","NLD","104.96634","64.666153"
"1993","Bulgaria","BGR","Belgium","BEL","50.49752","36.92543"
"1993","Bulgaria","BGR","Luxembourg","LUX","3.4524829","2.5245681"
"1993","Bulgaria","BGR","France","FRA","140.03893","133.84482"
"1993","Bulgaria","BGR","Monaco","MCO","-9","-9"
"1993","Bulgaria","BGR","Liechtenstein","LIE","-9","-9"
"1993","Bulgaria","BGR","Switzerland","CHE","69.154808","9.6623955"
"1993","Bulgaria","BGR","Spain","ESP","49.286339","20.729147"
"1993","Bulgaria","BGR","Andorra","AND","-9","-9"
"1993","Bulgaria","BGR","Portugal","PRT","5.2627826","12.84983"
"1993","Bulgaria","BGR","Germany","DEU","600.80066","340.53806"
"1993","Bulgaria","BGR","Poland","POL","34.848","21.413"
"1993","Bulgaria","BGR","Austria","AUT","127.61591","49.721394"
"1993","Bulgaria","BGR","Hungary","HUN","25.629999","21"
"1993","Bulgaria","BGR","Czech Republic","CZE","49.458252","14.667751"
"1993","Bulgaria","BGR","Slovakia","SVK","18.345207","11.539163"
"1993","Bulgaria","BGR","Italy","ITA","263.91507","190.70052"
"1993","Bulgaria","BGR","San Marino","SMR","-9","-9"
"1993","Bulgaria","BGR","Malta","MLT","0.13262643","0.23944257"
"1993","Bulgaria","BGR","Albania","ALB","0.94520515","29.749418"
"1993","Bulgaria","BGR","Macedonia","MKD","82.750999","130.94"
"1993","Bulgaria","BGR","Croatia","HRV","0","0"
"1993","Bulgaria","BGR","Yugoslavia","YUG","-9","-9"
"1993","Bulgaria","BGR","Bosnia and Herzegovina","BIH","0","0"
"1993","Bulgaria","BGR","Slovenia","SVN","45.283001","22.570999"
"1993","Bulgaria","BGR","Greece","GRC","330.7359","196.37199"
"1993","Bulgaria","BGR","Cyprus","CYP","32.803345","7.6605191"
"1993","Bulgaria","BGR","Moldova","MDA","18.26","5"
"1993","Bulgaria","BGR","Romania","ROU","113.19","71.400002"
"1993","Bulgaria","BGR","Russia","RUS","1035.65","244.7"
"1993","Bulgaria","BGR","Estonia","EST","2.2573416","0.89596623"
"1993","Bulgaria","BGR","Latvia","LVA","5.0529594","1.6571358"
"1993","Bulgaria","BGR","Lithuania","LTU","0","0"
"1993","Bulgaria","BGR","Ukraine","UKR","453.664","0"
"1993","Bulgaria","BGR","Belarus","BLR","14.6377","9.3299999"
"1993","Bulgaria","BGR","Armenia","ARM","1.15192","0.1637"
"1993","Bulgaria","BGR","Georgia","GEO","3.6872001","0.24600001"
"1993","Bulgaria","BGR","Azerbaijan","AZE","2.8067601","1.9809"
"1993","Bulgaria","BGR","Finland","FIN","25.5457","9.7042046"
"1993","Bulgaria","BGR","Sweden","SWE","31.987816","11.243505"
"1993","Bulgaria","BGR","Norway","NOR","4.6060476","3.5038393"
"1993","Bulgaria","BGR","Denmark","DNK","31.18726","15.918101"
"1993","Bulgaria","BGR","Iceland","ISL","0.006897741","0.1671519"
"1993","Bulgaria","BGR","Cape Verde","CPV","-9","-9"
"1993","Bulgaria","BGR","Sao Tome and Principe","STP","0","0"
"1993","Bulgaria","BGR","Guinea-Bissau","GNB","0","0"
"1993","Bulgaria","BGR","Equatorial Guinea","GNQ","0","0"
"1993","Bulgaria","BGR","Gambia","GMB","0","0"
"1993","Bulgaria","BGR","Mali","MLI","0","0"
"1993","Bulgaria","BGR","Senegal","SEN","0.078665085","1.5579925"
"1993","Bulgaria","BGR","Benin","BEN","0.10954838","0.046231069"
"1993","Bulgaria","BGR","Mauritania","MRT","0","0"
"1993","Bulgaria","BGR","Niger","NER","0.03884694","0"
"1993","Bulgaria","BGR","Ivory Coast","CIV","0.17923978","1.6764221"
"1993","Bulgaria","BGR","Guinea","GIN","0","0"
"1993","Bulgaria","BGR","Burkina Faso","BFA","0","0.040951755"
"1993","Bulgaria","BGR","Liberia","LBR","0","0"
"1993","Bulgaria","BGR","Sierra Leone","SLE","0","0.12605327"
"1993","Bulgaria","BGR","Ghana","GHA","0.01309","0.45100999"
"1993","Bulgaria","BGR","Togo","TGO","0","0.003927"
"1993","Bulgaria","BGR","Cameroon","CMR","0","0.003531541"
"1993","Bulgaria","BGR","Nigeria","NGA","0","14.129131"
"1993","Bulgaria","BGR","Gabon","GAB","0","0.013505829"
"1993","Bulgaria","BGR","Central African Republic","CAF","0","0.00414603"
"1993","Bulgaria","BGR","Chad","TCD","-9","0"
"1993","Bulgaria","BGR","Congo","COG","0","0.028252332"
"1993","Bulgaria","BGR","Democratic Republic of the Congo","COD","0","0.37525114"
"1993","Bulgaria","BGR","Uganda","UGA","0","0"
"1993","Bulgaria","BGR","Kenya","KEN","0.001725822","1.7411841"
"1993","Bulgaria","BGR","Tanzania","TZA","0","0.89322031"
"1993","Bulgaria","BGR","Burundi","BDI","0","0"
"1993","Bulgaria","BGR","Rwanda","RWA","0","0"
"1993","Bulgaria","BGR","Somalia","SOM","0","0"
"1993","Bulgaria","BGR","Djibouti","DJI","0","0"
"1993","Bulgaria","BGR","Ethiopia","ETH","0","0.064000003"
"1993","Bulgaria","BGR","Eritrea","ERI","-9","-9"
"1993","Bulgaria","BGR","Angola","AGO","0","0"
"1993","Bulgaria","BGR","Mozambique","MOZ","0","0"
"1993","Bulgaria","BGR","Zambia","ZMB","0","0.01666436"
"1993","Bulgaria","BGR","Zimbabwe","ZWE","0.091496862","0.23798305"
"1993","Bulgaria","BGR","Malawi","MWI","0","0"
"1993","Bulgaria","BGR","South Africa","ZAF","13.063982","4.1247206"
"1993","Bulgaria","BGR","Namibia","NAM","-9","0"
"1993","Bulgaria","BGR","Lesotho","LSO","-9","0"
"1993","Bulgaria","BGR","Botswana","BWA","0","0"
"1993","Bulgaria","BGR","Swaziland","SWZ","-9","0"
"1993","Bulgaria","BGR","Madagascar","MDG","0.19606309","0.002090102"
"1993","Bulgaria","BGR","Comoros","COM","-9","0"
"1993","Bulgaria","BGR","Mauritius","MUS","0","0"
"1993","Bulgaria","BGR","Seychelles","SYC","0","0"
"1993","Bulgaria","BGR","Morocco","MAR","4.7817001","4.0580001"
"1993","Bulgaria","BGR","Algeria","DZA","36.7202","10.039"
"1993","Bulgaria","BGR","Tunisia","TUN","4.9416142","9.0351934"
"1993","Bulgaria","BGR","Libya","LBY","20.420094","4.2585807"
"1993","Bulgaria","BGR","Sudan","SDN","0","6.6394067"
"1993","Bulgaria","BGR","Iran","IRN","51.810001","31.700001"
"1993","Bulgaria","BGR","Turkey","TUR","86.234001","0"
"1993","Bulgaria","BGR","Iraq","IRQ","0","0"
"1993","Bulgaria","BGR","Egypt","EGY","13.387874","21.33021"
"1993","Bulgaria","BGR","Syria","SYR","33.703018","118.97122"
"1993","Bulgaria","BGR","Lebanon","LBN","6.1082702","0"
"1993","Bulgaria","BGR","Jordan","JOR","3.4199424","30.914736"
"1993","Bulgaria","BGR","Israel","ISR","12.87","9.8000002"
"1993","Bulgaria","BGR","Saudi Arabia","SAU","0.69465953","16.073164"
"1993","Bulgaria","BGR","Yemen","YEM","0","6.3315573"
"1993","Bulgaria","BGR","Kuwait","KWT","0","0"
"1993","Bulgaria","BGR","Bahrain","BHR","0","0"
"1993","Bulgaria","BGR","Qatar","QAT","0","0"
"1993","Bulgaria","BGR","United Arab Emirates","ARE","0","0"
"1993","Bulgaria","BGR","Oman","OMN","0","0.1696723"
"1993","Bulgaria","BGR","Afghanistan","AFG","0","0"
"1993","Bulgaria","BGR","Turkmenistan","TKM","0","0"
"1993","Bulgaria","BGR","Tajikistan","TJK","0.49895999","0.0128"
"1993","Bulgaria","BGR","Kyrgyzstan","KGZ","0.11","0.41"
"1993","Bulgaria","BGR","Uzbekistan","UZB","0","0"
"1993","Bulgaria","BGR","Kazakhstan","KAZ","0","0"
"1993","Bulgaria","BGR","China","CHN","40.064201","137.036"
"1993","Bulgaria","BGR","Mongolia","MNG","0.079999998","0.27000001"
"1993","Bulgaria","BGR","Taiwan","TWN","13.1219","20.977272"
"1993","Bulgaria","BGR","North Korea","PRK","0","0"
"1993","Bulgaria","BGR","South Korea","KOR","58.080002","10.8"
"1993","Bulgaria","BGR","Japan","JPN","33.539528","24.39546"
"1993","Bulgaria","BGR","India","IND","4.1569142","42.335064"
"1993","Bulgaria","BGR","Bhutan","BTN","-9","0"
"1993","Bulgaria","BGR","Pakistan","PAK","2.1140239","4.7131038"
"1993","Bulgaria","BGR","Bangladesh","BGD","1.7789216","8.4824133"
"1993","Bulgaria","BGR","Myanmar","MMR","0","0"
"1993","Bulgaria","BGR","Sri Lanka","LKA","0.34828734","2.6488879"
"1993","Bulgaria","BGR","Maldives","MDV","0","0.72077298"
"1993","Bulgaria","BGR","Nepal","NPL","-9","-9"
"1993","Bulgaria","BGR","Thailand","THA","41.356956","46.562241"
"1993","Bulgaria","BGR","Cambodia","KHM","0","0"
"1993","Bulgaria","BGR","Laos","LAO","0","0"
"1993","Bulgaria","BGR","Vietnam","VNM","3.6805999","0.006"
"1993","Bulgaria","BGR","Malaysia","MYS","3.0541687","13.900977"
"1993","Bulgaria","BGR","Singapore","SGP","16.511068","4.2710328"
"1993","Bulgaria","BGR","Brunei","BRN","0","0"
"1993","Bulgaria","BGR","Philippines","PHL","0.0462","23.459999"
"1993","Bulgaria","BGR","Indonesia","IDN","11.115449","4.825017"
"1993","Bulgaria","BGR","Australia","AUS","8.8306932","3.037281"
"1993","Bulgaria","BGR","Papua New Guinea","PNG","0","0.009951142"
"1993","Bulgaria","BGR","New Zealand","NZL","0.19140415","0.17450526"
"1993","Bulgaria","BGR","Vanuatu","VUT","0","0"
"1993","Bulgaria","BGR","Solomon Islands","SLB","-9","-9"
"1993","Bulgaria","BGR","Fiji","FJI","0","0"
"1993","Bulgaria","BGR","Marshall Islands","MHL","-9","-9"
"1993","Bulgaria","BGR","Federated States of Micronesia","FSM","-9","-9"
"1993","Bulgaria","BGR","Samoa","WSM","0","-9"
