"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1993","Comoros","COM","United States of America","USA","0.22","9.6000004"
"1993","Comoros","COM","Canada","CAN","0.075129196","0.033085164"
"1993","Comoros","COM","Bahamas","BHS","-9","-9"
"1993","Comoros","COM","Cuba","CUB","0","-9"
"1993","Comoros","COM","Haiti","HTI","0","-9"
"1993","Comoros","COM","Dominican Republic","DOM","-9","-9"
"1993","Comoros","COM","Jamaica","JAM","-9","-9"
"1993","Comoros","COM","Trinidad and Tobago","TTO","-9","-9"
"1993","Comoros","COM","Barbados","BRB","0","0"
"1993","Comoros","COM","Dominica","DMA","-9","-9"
"1993","Comoros","COM","Grenada","GRD","-9","-9"
"1993","Comoros","COM","St. Lucia","LCA","0","0.003555556"
"1993","Comoros","COM","St. Vincent and the Grenadines","VCT","-9","-9"
"1993","Comoros","COM","Antigua & Barbuda","ATG","-9","-9"
"1993","Comoros","COM","St. Kitts and Nevis","KNA","-9","-9"
"1993","Comoros","COM","Mexico","MEX","0","0"
"1993","Comoros","COM","Belize","BLZ","-9","-9"
"1993","Comoros","COM","Guatemala","GTM","-9","-9"
"1993","Comoros","COM","Honduras","HND","-9","-9"
"1993","Comoros","COM","El Salvador","SLV","-9","-9"
"1993","Comoros","COM","Nicaragua","NIC","-9","0"
"1993","Comoros","COM","Costa Rica","CRI","-9","-9"
"1993","Comoros","COM","Panama","PAN","-9","-9"
"1993","Comoros","COM","Colombia","COL","0.0033","0"
"1993","Comoros","COM","Venezuela","VEN","-9","-9"
"1993","Comoros","COM","Guyana","GUY","-9","-9"
"1993","Comoros","COM","Suriname","SUR","-9","-9"
"1993","Comoros","COM","Ecuador","ECU","-9","-9"
"1993","Comoros","COM","Peru","PER","0","0"
"1993","Comoros","COM","Brazil","BRA","0.1188","0"
"1993","Comoros","COM","Bolivia","BOL","-9","0"
"1993","Comoros","COM","Paraguay","PRY","0","-9"
"1993","Comoros","COM","Chile","CHL","0","-9"
"1993","Comoros","COM","Argentina","ARG","0","0"
"1993","Comoros","COM","Uruguay","URY","-9","-9"
"1993","Comoros","COM","United Kingdom","GBR","0.72666556","0.011922637"
"1993","Comoros","COM","Ireland","IRL","0.51033092","0.011313793"
"1993","Comoros","COM","Netherlands","NLD","2.0888476","0.11859338"
"1993","Comoros","COM","Belgium","BEL","2.0498531","0.037440199"
"1993","Comoros","COM","Luxembourg","LUX","0.1401471","0.0025598"
"1993","Comoros","COM","France","FRA","60.550705","10.975716"
"1993","Comoros","COM","Monaco","MCO","-9","-9"
"1993","Comoros","COM","Liechtenstein","LIE","-9","-9"
"1993","Comoros","COM","Switzerland","CHE","0.29617146","0"
"1993","Comoros","COM","Spain","ESP","0.43218467","0"
"1993","Comoros","COM","Andorra","AND","-9","-9"
"1993","Comoros","COM","Portugal","PRT","0.00564365","0"
"1993","Comoros","COM","Germany","DEU","1.3008096","2.3967161"
"1993","Comoros","COM","Poland","POL","0.3355","0.039999999"
"1993","Comoros","COM","Austria","AUT","0","0"
"1993","Comoros","COM","Hungary","HUN","0","0"
"1993","Comoros","COM","Czech Republic","CZE","0","0"
"1993","Comoros","COM","Slovakia","SVK","0.0024156","0.0447051"
"1993","Comoros","COM","Italy","ITA","1.7466714","0.10777114"
"1993","Comoros","COM","San Marino","SMR","-9","-9"
"1993","Comoros","COM","Malta","MLT","0","0"
"1993","Comoros","COM","Albania","ALB","-9","-9"
"1993","Comoros","COM","Macedonia","MKD","-9","-9"
"1993","Comoros","COM","Croatia","HRV","-9","-9"
"1993","Comoros","COM","Yugoslavia","YUG","-9","-9"
"1993","Comoros","COM","Bosnia and Herzegovina","BIH","-9","-9"
"1993","Comoros","COM","Slovenia","SVN","0","0.017999999"
"1993","Comoros","COM","Greece","GRC","0.0484","0.039000001"
"1993","Comoros","COM","Cyprus","CYP","0","0"
"1993","Comoros","COM","Bulgaria","BGR","0","-9"
"1993","Comoros","COM","Moldova","MDA","-9","-9"
"1993","Comoros","COM","Romania","ROU","0.76999998","0"
"1993","Comoros","COM","Russia","RUS","-9","-9"
"1993","Comoros","COM","Estonia","EST","-9","-9"
"1993","Comoros","COM","Latvia","LVA","-9","0"
"1993","Comoros","COM","Lithuania","LTU","-9","-9"
"1993","Comoros","COM","Ukraine","UKR","-9","-9"
"1993","Comoros","COM","Belarus","BLR","-9","0"
"1993","Comoros","COM","Armenia","ARM","-9","-9"
"1993","Comoros","COM","Georgia","GEO","-9","-9"
"1993","Comoros","COM","Azerbaijan","AZE","-9","-9"
"1993","Comoros","COM","Finland","FIN","0.021025926","0"
"1993","Comoros","COM","Sweden","SWE","0.12001036","0"
"1993","Comoros","COM","Norway","NOR","0.015533871","0"
"1993","Comoros","COM","Denmark","DNK","0.27296677","0.005860635"
"1993","Comoros","COM","Iceland","ISL","-9","-9"
"1993","Comoros","COM","Cape Verde","CPV","-9","-9"
"1993","Comoros","COM","Sao Tome and Principe","STP","-9","-9"
"1993","Comoros","COM","Guinea-Bissau","GNB","-9","-9"
"1993","Comoros","COM","Equatorial Guinea","GNQ","-9","-9"
"1993","Comoros","COM","Gambia","GMB","-9","-9"
"1993","Comoros","COM","Mali","MLI","-9","-9"
"1993","Comoros","COM","Senegal","SEN","0","0"
"1993","Comoros","COM","Benin","BEN","0.001059462","0"
"1993","Comoros","COM","Mauritania","MRT","-9","-9"
"1993","Comoros","COM","Niger","NER","0","0"
"1993","Comoros","COM","Ivory Coast","CIV","0","0.005509202"
"1993","Comoros","COM","Guinea","GIN","-9","-9"
"1993","Comoros","COM","Burkina Faso","BFA","-9","0"
"1993","Comoros","COM","Liberia","LBR","-9","0"
"1993","Comoros","COM","Sierra Leone","SLE","-9","-9"
"1993","Comoros","COM","Ghana","GHA","-9","0"
"1993","Comoros","COM","Togo","TGO","0","0"
"1993","Comoros","COM","Cameroon","CMR","0","0"
"1993","Comoros","COM","Nigeria","NGA","0.1616558","0"
"1993","Comoros","COM","Gabon","GAB","0","-9"
