"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1994","Armenia","ARM","United States of America","USA","96.096603","0.89999998"
"1994","Armenia","ARM","Canada","CAN","0.2387","0"
"1994","Armenia","ARM","Bahamas","BHS","-9","-9"
"1994","Armenia","ARM","Cuba","CUB","0","0"
"1994","Armenia","ARM","Haiti","HTI","-9","-9"
"1994","Armenia","ARM","Dominican Republic","DOM","-9","-9"
"1994","Armenia","ARM","Jamaica","JAM","-9","-9"
"1994","Armenia","ARM","Trinidad and Tobago","TTO","-9","-9"
"1994","Armenia","ARM","Barbados","BRB","-9","0"
"1994","Armenia","ARM","Dominica","DMA","-9","-9"
"1994","Armenia","ARM","Grenada","GRD","-9","-9"
"1994","Armenia","ARM","St. Lucia","LCA","-9","-9"
"1994","Armenia","ARM","St. Vincent and the Grenadines","VCT","-9","-9"
"1994","Armenia","ARM","Antigua & Barbuda","ATG","-9","-9"
"1994","Armenia","ARM","St. Kitts and Nevis","KNA","-9","-9"
"1994","Armenia","ARM","Mexico","MEX","-9","-9"
"1994","Armenia","ARM","Belize","BLZ","-9","-9"
"1994","Armenia","ARM","Guatemala","GTM","-9","-9"
"1994","Armenia","ARM","Honduras","HND","-9","-9"
"1994","Armenia","ARM","El Salvador","SLV","-9","-9"
"1994","Armenia","ARM","Nicaragua","NIC","-9","-9"
"1994","Armenia","ARM","Costa Rica","CRI","0","0"
"1994","Armenia","ARM","Panama","PAN","-9","-9"
"1994","Armenia","ARM","Colombia","COL","0.068686999","0.052859001"
"1994","Armenia","ARM","Venezuela","VEN","-9","-9"
"1994","Armenia","ARM","Guyana","GUY","-9","-9"
"1994","Armenia","ARM","Suriname","SUR","-9","-9"
"1994","Armenia","ARM","Ecuador","ECU","-9","-9"
"1994","Armenia","ARM","Peru","PER","0.28600001","0.1969"
"1994","Armenia","ARM","Brazil","BRA","0","0.0297"
"1994","Armenia","ARM","Bolivia","BOL","-9","0"
"1994","Armenia","ARM","Paraguay","PRY","-9","-9"
"1994","Armenia","ARM","Chile","CHL","0","0"
"1994","Armenia","ARM","Argentina","ARG","0.028000001","0"
"1994","Armenia","ARM","Uruguay","URY","-9","0.003"
"1994","Armenia","ARM","United Kingdom","GBR","0.47659999","0.041051537"
"1994","Armenia","ARM","Ireland","IRL","0.0004","1.1854"
"1994","Armenia","ARM","Netherlands","NLD","8.2662001","1.4060477"
"1994","Armenia","ARM","Belgium","BEL","2.5331039","32.687321"
"1994","Armenia","ARM","Luxembourg","LUX","0.1768961","2.2826779"
"1994","Armenia","ARM","France","FRA","10.6963","0.23755461"
"1994","Armenia","ARM","Monaco","MCO","-9","-9"
"1994","Armenia","ARM","Liechtenstein","LIE","-9","-9"
"1994","Armenia","ARM","Switzerland","CHE","2.4442999","0.11412702"
"1994","Armenia","ARM","Spain","ESP","0.24097745","0.029860115"
"1994","Armenia","ARM","Andorra","AND","-9","-9"
"1994","Armenia","ARM","Portugal","PRT","0","0"
"1994","Armenia","ARM","Germany","DEU","6.9401999","8.5183783"
"1994","Armenia","ARM","Poland","POL","0.186","0.229"
"1994","Armenia","ARM","Austria","AUT","0.19430071","0.18570191"
"1994","Armenia","ARM","Hungary","HUN","0","0"
"1994","Armenia","ARM","Czech Republic","CZE","0.1212","0.1121"
"1994","Armenia","ARM","Slovakia","SVK","0.2608","0.0307"
"1994","Armenia","ARM","Italy","ITA","8.9452","0.85828459"
"1994","Armenia","ARM","San Marino","SMR","-9","-9"
"1994","Armenia","ARM","Malta","MLT","0","0"
"1994","Armenia","ARM","Albania","ALB","-9","-9"
"1994","Armenia","ARM","Macedonia","MKD","-9","-9"
"1994","Armenia","ARM","Croatia","HRV","0","0"
"1994","Armenia","ARM","Yugoslavia","YUG","-9","-9"
"1994","Armenia","ARM","Bosnia and Herzegovina","BIH","-9","-9"
"1994","Armenia","ARM","Slovenia","SVN","0.49000001","0"
"1994","Armenia","ARM","Greece","GRC","3.227036","0.009"
"1994","Armenia","ARM","Cyprus","CYP","0.1707","2.9805169"
"1994","Armenia","ARM","Bulgaria","BGR","0.91000003","0.026729999"
"1994","Armenia","ARM","Moldova","MDA","0.1277","0.1"
"1994","Armenia","ARM","Romania","ROU","0.1","1.1"
"1994","Armenia","ARM","Russia","RUS","112.158","53.200001"
"1994","Armenia","ARM","Estonia","EST","0.2608","0.082043819"
"1994","Armenia","ARM","Latvia","LVA","0.49270001","0.0143"
"1994","Armenia","ARM","Lithuania","LTU","0.68430001","0.0319"
"1994","Armenia","ARM","Ukraine","UKR","5.2796001","1.2559"
"1994","Armenia","ARM","Belarus","BLR","0.40310001","0.91600001"
"1994","Armenia","ARM","Georgia","GEO","17.809799","1.1"
"1994","Armenia","ARM","Azerbaijan","AZE","0","0"
"1994","Armenia","ARM","Finland","FIN","0.37450001","0.000194612"
"1994","Armenia","ARM","Sweden","SWE","1.7625781","0.025920266"
"1994","Armenia","ARM","Norway","NOR","0.014587467","0"
"1994","Armenia","ARM","Denmark","DNK","3.1892016","0"
"1994","Armenia","ARM","Iceland","ISL","-9","-9"
"1994","Armenia","ARM","Cape Verde","CPV","-9","-9"
"1994","Armenia","ARM","Sao Tome and Principe","STP","-9","-9"
"1994","Armenia","ARM","Guinea-Bissau","GNB","-9","-9"
"1994","Armenia","ARM","Equatorial Guinea","GNQ","-9","-9"
"1994","Armenia","ARM","Gambia","GMB","-9","-9"
"1994","Armenia","ARM","Mali","MLI","-9","-9"
"1994","Armenia","ARM","Senegal","SEN","-9","-9"
"1994","Armenia","ARM","Benin","BEN","-9","-9"
"1994","Armenia","ARM","Mauritania","MRT","-9","-9"
"1994","Armenia","ARM","Niger","NER","-9","-9"
"1994","Armenia","ARM","Ivory Coast","CIV","-9","-9"
"1994","Armenia","ARM","Guinea","GIN","-9","-9"
"1994","Armenia","ARM","Burkina Faso","BFA","-9","-9"
"1994","Armenia","ARM","Liberia","LBR","-9","-9"
"1994","Armenia","ARM","Sierra Leone","SLE","-9","-9"
"1994","Armenia","ARM","Ghana","GHA","-9","-9"
