"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1997","Chile","CHL","United States of America","USA","4332.5","2627.1001"
"1997","Chile","CHL","Canada","CAN","432.51999","257.81052"
"1997","Chile","CHL","Bahamas","BHS","0.079999998","0.204"
"1997","Chile","CHL","Cuba","CUB","0.68000001","18.579"
"1997","Chile","CHL","Haiti","HTI","0","5.1040001"
"1997","Chile","CHL","Dominican Republic","DOM","0.57999998","19.34"
"1997","Chile","CHL","Jamaica","JAM","0.07","2.0350001"
"1997","Chile","CHL","Trinidad and Tobago","TTO","2.04","0.90821117"
"1997","Chile","CHL","Barbados","BRB","59.799999","0.76396"
"1997","Chile","CHL","Dominica","DMA","0.02","1.3200001"
"1997","Chile","CHL","Grenada","GRD","0.050000001","0.065614074"
"1997","Chile","CHL","St. Lucia","LCA","0.14","0.33231223"
"1997","Chile","CHL","St. Vincent and the Grenadines","VCT","0.000185185","0.015612593"
"1997","Chile","CHL","Antigua & Barbuda","ATG","0.050000001","0.039999999"
"1997","Chile","CHL","St. Kitts and Nevis","KNA","0","0"
"1997","Chile","CHL","Mexico","MEX","1076.25","409.6235"
"1997","Chile","CHL","Belize","BLZ","0.87","0.01"
"1997","Chile","CHL","Guatemala","GTM","35.09","15.5513"
"1997","Chile","CHL","Honduras","HND","0.029999999","6.8800001"
"1997","Chile","CHL","El Salvador","SLV","4.6500001","8.3560905"
"1997","Chile","CHL","Nicaragua","NIC","7.3899999","31.1"
"1997","Chile","CHL","Costa Rica","CRI","23.92","27.800484"
"1997","Chile","CHL","Panama","PAN","8.6599998","20.182596"
"1997","Chile","CHL","Colombia","COL","201.23","252.81691"
"1997","Chile","CHL","Venezuela","VEN","273.39001","125"
"1997","Chile","CHL","Guyana","GUY","61.919998","59.554001"
"1997","Chile","CHL","Suriname","SUR","0.07","0.70999998"
"1997","Chile","CHL","Ecuador","ECU","258.57001","152.05751"
"1997","Chile","CHL","Peru","PER","118.49","497.0416"
"1997","Chile","CHL","Brazil","BRA","1242.8199","1094.0522"
"1997","Chile","CHL","Bolivia","BOL","62.549999","123.41549"
"1997","Chile","CHL","Paraguay","PRY","55.009998","70.131599"
"1997","Chile","CHL","Argentina","ARG","1836.92","681.245"
"1997","Chile","CHL","Uruguay","URY","58.110001","62.874001"
"1997","Chile","CHL","United Kingdom","GBR","320.14999","644.09912"
"1997","Chile","CHL","Ireland","IRL","46.09","14.70933"
"1997","Chile","CHL","Netherlands","NLD","108.58","292.58975"
"1997","Chile","CHL","Belgium","BEL","132.31","171.01711"
"1997","Chile","CHL","Luxembourg","LUX","6.4099998","0.43407181"
"1997","Chile","CHL","France","FRA","502.42001","605.46576"
"1997","Chile","CHL","Monaco","MCO","-9","-9"
"1997","Chile","CHL","Liechtenstein","LIE","-9","-9"
"1997","Chile","CHL","Switzerland","CHE","114.46","47.367252"
