"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1998","Czech Republic","CZE","United States of America","USA","1185.8567","699.09998"
"1998","Czech Republic","CZE","Canada","CAN","91.155052","91.909073"
"1998","Czech Republic","CZE","Bahamas","BHS","0.13586558","6.690556"
"1998","Czech Republic","CZE","Cuba","CUB","0.54738247","20.098665"
"1998","Czech Republic","CZE","Haiti","HTI","0","0.54545087"
"1998","Czech Republic","CZE","Dominican Republic","DOM","1.5041058","1.6502773"
"1998","Czech Republic","CZE","Jamaica","JAM","0","1.139673"
"1998","Czech Republic","CZE","Trinidad and Tobago","TTO","0.10334919","1.5678331"
"1998","Czech Republic","CZE","Barbados","BRB","0.006124","0.71145648"
"1998","Czech Republic","CZE","Dominica","DMA","0.033059839","0"
"1998","Czech Republic","CZE","Grenada","GRD","0","0"
"1998","Czech Republic","CZE","St. Lucia","LCA","0.14635444","0"
"1998","Czech Republic","CZE","St. Vincent and the Grenadines","VCT","0","0.046680741"
"1998","Czech Republic","CZE","Antigua & Barbuda","ATG","0","0"
"1998","Czech Republic","CZE","St. Kitts and Nevis","KNA","0.032559793","0"
"1998","Czech Republic","CZE","Mexico","MEX","26.678301","21.917065"
"1998","Czech Republic","CZE","Belize","BLZ","0","0.14981741"
"1998","Czech Republic","CZE","Guatemala","GTM","1.9074811","3.2894118"
"1998","Czech Republic","CZE","Honduras","HND","3.306294","2.8524311"
"1998","Czech Republic","CZE","El Salvador","SLV","0.29829773","0.628721"
"1998","Czech Republic","CZE","Nicaragua","NIC","1.2543148","0.29064173"
"1998","Czech Republic","CZE","Costa Rica","CRI","12.48028","1.0808673"
"1998","Czech Republic","CZE","Panama","PAN","5.2466288","0.39253199"
"1998","Czech Republic","CZE","Colombia","COL","53.986477","20.406078"
"1998","Czech Republic","CZE","Venezuela","VEN","0.39897403","1"
"1998","Czech Republic","CZE","Guyana","GUY","0.036588609","0"
"1998","Czech Republic","CZE","Suriname","SUR","0.07078626","0.42160571"
"1998","Czech Republic","CZE","Ecuador","ECU","5.9193306","5.3471279"
"1998","Czech Republic","CZE","Peru","PER","8.6927929","3.2131"
"1998","Czech Republic","CZE","Brazil","BRA","106.18867","45.251801"
"1998","Czech Republic","CZE","Bolivia","BOL","0.66199803","1.67544"
"1998","Czech Republic","CZE","Paraguay","PRY","0","0.95313609"
"1998","Czech Republic","CZE","Chile","CHL","6.0231152","11.28"
"1998","Czech Republic","CZE","Argentina","ARG","17.516479","17.003218"
"1998","Czech Republic","CZE","Uruguay","URY","5.4488268","2.4920001"
"1998","Czech Republic","CZE","United Kingdom","GBR","1209.0027","955.69519"
"1998","Czech Republic","CZE","Ireland","IRL","142.57307","57.528717"
"1998","Czech Republic","CZE","Netherlands","NLD","762.61993","526.16394"
"1998","Czech Republic","CZE","Belgium","BEL","634.61255","499.66299"
"1998","Czech Republic","CZE","Luxembourg","LUX","43.675705","41.473259"
"1998","Czech Republic","CZE","France","FRA","1427.1677","884.11969"
"1998","Czech Republic","CZE","Monaco","MCO","-9","-9"
"1998","Czech Republic","CZE","Liechtenstein","LIE","-9","-9"
"1998","Czech Republic","CZE","Switzerland","CHE","575.43256","282.57257"
"1998","Czech Republic","CZE","Spain","ESP","428.32724","326.20267"
"1998","Czech Republic","CZE","Andorra","AND","-9","-9"
"1998","Czech Republic","CZE","Portugal","PRT","33.828365","74.214325"
"1998","Czech Republic","CZE","Germany","DEU","10986.384","9786.165"
"1998","Czech Republic","CZE","Poland","POL","1070.5743","1462.332"
"1998","Czech Republic","CZE","Austria","AUT","1861.0051","1610.5143"
"1998","Czech Republic","CZE","Hungary","HUN","436.81149","553.00897"
"1998","Czech Republic","CZE","Slovakia","SVK","2280.821","2642.7654"
"1998","Czech Republic","CZE","Italy","ITA","1664.4877","995.27905"
"1998","Czech Republic","CZE","San Marino","SMR","-9","-9"
"1998","Czech Republic","CZE","Malta","MLT","2.069746","4.3940506"
"1998","Czech Republic","CZE","Albania","ALB","0.68825805","3.3179848"
"1998","Czech Republic","CZE","Macedonia","MKD","5.998282","16.055647"
"1998","Czech Republic","CZE","Croatia","HRV","45.227226","181.41"
"1998","Czech Republic","CZE","Yugoslavia","YUG","-9","-9"
"1998","Czech Republic","CZE","Bosnia and Herzegovina","BIH","2.1047096","48.866005"
"1998","Czech Republic","CZE","Slovenia","SVN","174.81934","264.15799"
"1998","Czech Republic","CZE","Greece","GRC","62.997234","110.73329"
"1998","Czech Republic","CZE","Cyprus","CYP","3.6810973","9.0026407"
"1998","Czech Republic","CZE","Bulgaria","BGR","24.34333","97.855003"
"1998","Czech Republic","CZE","Moldova","MDA","1.180171","7.2385998"
"1998","Czech Republic","CZE","Romania","ROU","28.8496","194.91"
"1998","Czech Republic","CZE","Russia","RUS","1741.0009","518.87701"
"1998","Czech Republic","CZE","Estonia","EST","4.2566113","25"
"1998","Czech Republic","CZE","Latvia","LVA","6.6730618","43.342216"
"1998","Czech Republic","CZE","Lithuania","LTU","10.258646","96.756401"
"1998","Czech Republic","CZE","Ukraine","UKR","234.36566","208.8"
"1998","Czech Republic","CZE","Belarus","BLR","23.186108","87.000999"
"1998","Czech Republic","CZE","Armenia","ARM","0.033826377","3.7565999"
"1998","Czech Republic","CZE","Georgia","GEO","0","0.58479083"
"1998","Czech Republic","CZE","Azerbaijan","AZE","2.4689643","2.092"
"1998","Czech Republic","CZE","Finland","FIN","308.78522","146.57819"
"1998","Czech Republic","CZE","Sweden","SWE","412.01239","352.76584"
"1998","Czech Republic","CZE","Norway","NOR","148.05595","115.09769"
"1998","Czech Republic","CZE","Denmark","DNK","219.48366","163.21524"
"1998","Czech Republic","CZE","Iceland","ISL","1.5702268","9.8226366"
"1998","Czech Republic","CZE","Cape Verde","CPV","-9","-9"
"1998","Czech Republic","CZE","Sao Tome and Principe","STP","0","0"
"1998","Czech Republic","CZE","Guinea-Bissau","GNB","0","0"
"1998","Czech Republic","CZE","Equatorial Guinea","GNQ","0","0"
"1998","Czech Republic","CZE","Gambia","GMB","0.10260237","0.79525119"
"1998","Czech Republic","CZE","Mali","MLI","0.032354843","0.95827013"
"1998","Czech Republic","CZE","Senegal","SEN","0.15920967","1.0704018"
"1998","Czech Republic","CZE","Benin","BEN","0.68552417","0.85820574"
"1998","Czech Republic","CZE","Mauritania","MRT","0","0.48551294"
"1998","Czech Republic","CZE","Niger","NER","0","0.17120044"
"1998","Czech Republic","CZE","Ivory Coast","CIV","15.09579","2.6040773"
"1998","Czech Republic","CZE","Guinea","GIN","2.0728664","0.16412905"
"1998","Czech Republic","CZE","Burkina Faso","BFA","0.20503557","0.13959235"
"1998","Czech Republic","CZE","Liberia","LBR","0","0.44892159"
"1998","Czech Republic","CZE","Sierra Leone","SLE","0.19929004","0.56607306"
"1998","Czech Republic","CZE","Ghana","GHA","0.56381983","1.7710264"
"1998","Czech Republic","CZE","Togo","TGO","1.7318329","0.02144243"
"1998","Czech Republic","CZE","Cameroon","CMR","2.1666086","1.3797739"
"1998","Czech Republic","CZE","Nigeria","NGA","19.043781","7.0525956"
"1998","Czech Republic","CZE","Gabon","GAB","0","0.033826377"
"1998","Czech Republic","CZE","Central African Republic","CAF","0.23922019","0.070236728"
"1998","Czech Republic","CZE","Chad","TCD","3.0287333","0.03184621"
"1998","Czech Republic","CZE","Congo","COG","1.0109718","0.29648417"
"1998","Czech Republic","CZE","Democratic Republic of the Congo","COD","0.26157138","0.492901"
"1998","Czech Republic","CZE","Uganda","UGA","3.24277","0.41046873"
"1998","Czech Republic","CZE","Kenya","KEN","0.20212556","8.4487543"
"1998","Czech Republic","CZE","Tanzania","TZA","1.4272152","0.16552395"
"1998","Czech Republic","CZE","Burundi","BDI","0","0.060829729"
"1998","Czech Republic","CZE","Rwanda","RWA","0.17104894","0"
"1998","Czech Republic","CZE","Somalia","SOM","0","0.067647673"
"1998","Czech Republic","CZE","Djibouti","DJI","0","0.24243735"
"1998","Czech Republic","CZE","Ethiopia","ETH","2.9607785","0.64067715"
"1998","Czech Republic","CZE","Eritrea","ERI","0","0.09225376"
"1998","Czech Republic","CZE","Angola","AGO","0.074574433","0.071602926"
"1998","Czech Republic","CZE","Mozambique","MOZ","0","0.034195047"
"1998","Czech Republic","CZE","Zambia","ZMB","0.80500579","0.11348041"
"1998","Czech Republic","CZE","Zimbabwe","ZWE","12.649432","1.9926634"
"1998","Czech Republic","CZE","Malawi","MWI","7.7769065","0"
"1998","Czech Republic","CZE","South Africa","ZAF","36.038349","27.944384"
"1998","Czech Republic","CZE","Namibia","NAM","0","0.089456223"
"1998","Czech Republic","CZE","Lesotho","LSO","0","0"
"1998","Czech Republic","CZE","Botswana","BWA","0","0.033599891"
"1998","Czech Republic","CZE","Swaziland","SWZ","0.035801463","0.062183253"
"1998","Czech Republic","CZE","Madagascar","MDG","4.0651784","0.55242229"
"1998","Czech Republic","CZE","Comoros","COM","0","0"
"1998","Czech Republic","CZE","Mauritius","MUS","0.30726519","0.30412298"
"1998","Czech Republic","CZE","Seychelles","SYC","0","0.61502504"
"1998","Czech Republic","CZE","Morocco","MAR","8.7880735","9.9371681"
"1998","Czech Republic","CZE","Algeria","DZA","27.0116","22.077801"
"1998","Czech Republic","CZE","Tunisia","TUN","8.4512072","12.724381"
"1998","Czech Republic","CZE","Libya","LBY","18.075356","18.618679"
"1998","Czech Republic","CZE","Sudan","SDN","1.4909499","2.4036999"
"1998","Czech Republic","CZE","Iran","IRN","6.2288909","29.726326"
"1998","Czech Republic","CZE","Turkey","TUR","84.788307","93.300003"
"1998","Czech Republic","CZE","Iraq","IRQ","6.4216599","0.63499314"
"1998","Czech Republic","CZE","Egypt","EGY","12.162297","42.532589"
