"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2000","Tajikistan","TJK","United States of America","USA","14.3","12.1"
"2000","Tajikistan","TJK","Canada","CAN","0.80000001","0.17954366"
"2000","Tajikistan","TJK","Bahamas","BHS","0","0"
"2000","Tajikistan","TJK","Cuba","CUB","-9","-9"
"2000","Tajikistan","TJK","Haiti","HTI","-9","0"
"2000","Tajikistan","TJK","Dominican Republic","DOM","-9","-9"
"2000","Tajikistan","TJK","Jamaica","JAM","0","0"
"2000","Tajikistan","TJK","Trinidad and Tobago","TTO","-9","-9"
"2000","Tajikistan","TJK","Barbados","BRB","-9","0"
"2000","Tajikistan","TJK","Dominica","DMA","0","-9"
"2000","Tajikistan","TJK","Grenada","GRD","-9","-9"
"2000","Tajikistan","TJK","St. Lucia","LCA","-9","-9"
"2000","Tajikistan","TJK","St. Vincent and the Grenadines","VCT","-9","-9"
"2000","Tajikistan","TJK","Antigua & Barbuda","ATG","-9","-9"
"2000","Tajikistan","TJK","St. Kitts and Nevis","KNA","-9","-9"
"2000","Tajikistan","TJK","Mexico","MEX","-9","0"
"2000","Tajikistan","TJK","Belize","BLZ","0","0"
"2000","Tajikistan","TJK","Guatemala","GTM","0","0"
"2000","Tajikistan","TJK","Honduras","HND","-9","0"
"2000","Tajikistan","TJK","El Salvador","SLV","0","0"
"2000","Tajikistan","TJK","Nicaragua","NIC","0","-9"
"2000","Tajikistan","TJK","Costa Rica","CRI","-9","0"
"2000","Tajikistan","TJK","Panama","PAN","0","0"
"2000","Tajikistan","TJK","Colombia","COL","0","0"
"2000","Tajikistan","TJK","Venezuela","VEN","0","0"
"2000","Tajikistan","TJK","Guyana","GUY","-9","-9"
"2000","Tajikistan","TJK","Suriname","SUR","-9","-9"
"2000","Tajikistan","TJK","Ecuador","ECU","0","0"
"2000","Tajikistan","TJK","Peru","PER","0","0"
"2000","Tajikistan","TJK","Brazil","BRA","0","6.1346998"
