"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2001","Denmark","DNK","United States of America","USA","1964.7554","3524.1001"
"2001","Denmark","DNK","Canada","CAN","260.48871","576.1192"
"2001","Denmark","DNK","Bahamas","BHS","0.036045484","23.195271"
"2001","Denmark","DNK","Cuba","CUB","1.2255465","14.723379"
"2001","Denmark","DNK","Haiti","HTI","0.012015162","1.219465"
"2001","Denmark","DNK","Dominican Republic","DOM","1.189501","49.799442"
"2001","Denmark","DNK","Jamaica","JAM","0.084106132","6.5490708"
"2001","Denmark","DNK","Trinidad and Tobago","TTO","0.096121296","6.0393405"
"2001","Denmark","DNK","Barbados","BRB","0.43254584","6.1868424"
"2001","Denmark","DNK","Dominica","DMA","0","0.21037038"
"2001","Denmark","DNK","Grenada","GRD","0","0.96481752"
"2001","Denmark","DNK","St. Lucia","LCA","0.012015162","0.70048392"
"2001","Denmark","DNK","St. Vincent and the Grenadines","VCT","0.13216679","0.59435928"
"2001","Denmark","DNK","Antigua & Barbuda","ATG","0.048060648","1.5259255"
"2001","Denmark","DNK","St. Kitts and Nevis","KNA","0.55269742","1.1762843"
"2001","Denmark","DNK","Mexico","MEX","54.8372","186.1265"
"2001","Denmark","DNK","Belize","BLZ","0.012015162","2.3922188"
"2001","Denmark","DNK","Guatemala","GTM","3.8088064","9.9560518"
"2001","Denmark","DNK","Honduras","HND","4.0731397","1.89"
"2001","Denmark","DNK","El Salvador","SLV","0.54068232","6.5490375"
"2001","Denmark","DNK","Nicaragua","NIC","1.6821227","1.2856224"
"2001","Denmark","DNK","Costa Rica","CRI","3.4483514","15.707154"
"2001","Denmark","DNK","Panama","PAN","77.762131","7.1623869"
"2001","Denmark","DNK","Colombia","COL","33.690514","32.757576"
"2001","Denmark","DNK","Venezuela","VEN","61.589722","34.475101"
"2001","Denmark","DNK","Guyana","GUY","0.084106132","0.89873409"
"2001","Denmark","DNK","Suriname","SUR","0.49262163","0.14670154"
"2001","Denmark","DNK","Ecuador","ECU","2.1026533","4.8374872"
"2001","Denmark","DNK","Peru","PER","14.430209","17.337362"
