"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2001","Ukraine","UKR","United States of America","USA","457.91507","765.29999"
"2001","Ukraine","UKR","Canada","CAN","23.314871","44.827068"
"2001","Ukraine","UKR","Bahamas","BHS","1.74976","8.0242357"
"2001","Ukraine","UKR","Cuba","CUB","9.0943604","5.5819831"
"2001","Ukraine","UKR","Haiti","HTI","0.00104","0.031123495"
"2001","Ukraine","UKR","Dominican Republic","DOM","0.00134","5.3182969"
"2001","Ukraine","UKR","Jamaica","JAM","0.00873","0.312832"
"2001","Ukraine","UKR","Trinidad and Tobago","TTO","0.00471","4.2136068"
"2001","Ukraine","UKR","Barbados","BRB","0.00032","0.335365"
"2001","Ukraine","UKR","Dominica","DMA","1.98841","0"
"2001","Ukraine","UKR","Grenada","GRD","0.01589","0"
"2001","Ukraine","UKR","St. Lucia","LCA","0.00458","0"
"2001","Ukraine","UKR","St. Vincent and the Grenadines","VCT","0.000777778","0.006742592"
"2001","Ukraine","UKR","Antigua & Barbuda","ATG","0","0.00248"
"2001","Ukraine","UKR","St. Kitts and Nevis","KNA","0.81392998","0.73822099"
"2001","Ukraine","UKR","Mexico","MEX","2.0106399","130.20776"
"2001","Ukraine","UKR","Belize","BLZ","0","0.42271999"
"2001","Ukraine","UKR","Guatemala","GTM","0.86523998","25.023144"
"2001","Ukraine","UKR","Honduras","HND","0.93444997","0.01"
"2001","Ukraine","UKR","El Salvador","SLV","5.7154298","11.70961"
"2001","Ukraine","UKR","Nicaragua","NIC","0.00997","2.79843"
"2001","Ukraine","UKR","Costa Rica","CRI","1.63674","6.3587236"
"2001","Ukraine","UKR","Panama","PAN","2.6544099","0.437819"
"2001","Ukraine","UKR","Colombia","COL","1.03899","21.222218"
"2001","Ukraine","UKR","Venezuela","VEN","0.021029999","10.6865"
"2001","Ukraine","UKR","Guyana","GUY","14.54531","0"
"2001","Ukraine","UKR","Suriname","SUR","6.00E-05","0.003608973"
"2001","Ukraine","UKR","Ecuador","ECU","14.63351","27.659096"
"2001","Ukraine","UKR","Peru","PER","1.54677","11.791039"
"2001","Ukraine","UKR","Brazil","BRA","111.76003","64.526001"
"2001","Ukraine","UKR","Bolivia","BOL","0.01007","0.47767001"
"2001","Ukraine","UKR","Paraguay","PRY","0","0.53410387"
"2001","Ukraine","UKR","Chile","CHL","1.30389","24.309999"
"2001","Ukraine","UKR","Argentina","ARG","6.4006901","10.624441"
"2001","Ukraine","UKR","Uruguay","URY","0.31953001","3.1636901"
"2001","Ukraine","UKR","United Kingdom","GBR","229.11469","103.71067"
"2001","Ukraine","UKR","Ireland","IRL","29.34189","4.1936002"
"2001","Ukraine","UKR","Netherlands","NLD","177.01859","179.21609"
"2001","Ukraine","UKR","Belgium","BEL","156.95757","114.8"
"2001","Ukraine","UKR","Luxembourg","LUX","12.47413","0.31040001"
"2001","Ukraine","UKR","France","FRA","296.04294","181.80161"
"2001","Ukraine","UKR","Monaco","MCO","-9","-9"
"2001","Ukraine","UKR","Liechtenstein","LIE","-9","-9"
"2001","Ukraine","UKR","Switzerland","CHE","149.70889","9.5821514"
"2001","Ukraine","UKR","Spain","ESP","87.791313","406.965"
"2001","Ukraine","UKR","Andorra","AND","-9","-9"
"2001","Ukraine","UKR","Portugal","PRT","8.2887001","29.8374"
"2001","Ukraine","UKR","Germany","DEU","1380.183","755.79797"
"2001","Ukraine","UKR","Poland","POL","450.83737","449.29944"
"2001","Ukraine","UKR","Austria","AUT","202.09586","231.1376"
"2001","Ukraine","UKR","Hungary","HUN","172.05096","293.73199"
"2001","Ukraine","UKR","Czech Republic","CZE","202.95741","282.5531"
