"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2002","Fiji","FJI","United States of America","USA","18.59","170.39999"
"2002","Fiji","FJI","Canada","CAN","4.4985242","4.1550145"
"2002","Fiji","FJI","Bahamas","BHS","0","0"
"2002","Fiji","FJI","Cuba","CUB","0","0"
"2002","Fiji","FJI","Haiti","HTI","0","0"
"2002","Fiji","FJI","Dominican Republic","DOM","0","0.032364454"
"2002","Fiji","FJI","Jamaica","JAM","0","0"
"2002","Fiji","FJI","Trinidad and Tobago","TTO","0","0.037697062"
"2002","Fiji","FJI","Barbados","BRB","0","0.0131"
"2002","Fiji","FJI","Dominica","DMA","0","0"
"2002","Fiji","FJI","Grenada","GRD","0","0"
"2002","Fiji","FJI","St. Lucia","LCA","0","0"
"2002","Fiji","FJI","St. Vincent and the Grenadines","VCT","-9","0"
"2002","Fiji","FJI","Antigua & Barbuda","ATG","0","0"
"2002","Fiji","FJI","St. Kitts and Nevis","KNA","-9","0"
"2002","Fiji","FJI","Mexico","MEX","0","0"
"2002","Fiji","FJI","Belize","BLZ","0","0"
"2002","Fiji","FJI","Guatemala","GTM","0","0"
"2002","Fiji","FJI","Honduras","HND","0","0.000784"
"2002","Fiji","FJI","El Salvador","SLV","0","0"
"2002","Fiji","FJI","Nicaragua","NIC","0","0"
"2002","Fiji","FJI","Costa Rica","CRI","0.01218987","0"
"2002","Fiji","FJI","Panama","PAN","0","0"
"2002","Fiji","FJI","Colombia","COL","0.065998897","3.50E-05"
"2002","Fiji","FJI","Venezuela","VEN","0","0"
"2002","Fiji","FJI","Guyana","GUY","0","0"
"2002","Fiji","FJI","Suriname","SUR","0","0"
"2002","Fiji","FJI","Ecuador","ECU","0.24265669","0"
"2002","Fiji","FJI","Peru","PER","0.053446848","0"
"2002","Fiji","FJI","Brazil","BRA","0.7649796","0.0014828"
"2002","Fiji","FJI","Bolivia","BOL","0","0"
"2002","Fiji","FJI","Paraguay","PRY","0","0"
"2002","Fiji","FJI","Chile","CHL","0","0"
"2002","Fiji","FJI","Argentina","ARG","1.3124276","0"
"2002","Fiji","FJI","Uruguay","URY","0","0"
"2002","Fiji","FJI","United Kingdom","GBR","5.0794106","71.961037"
"2002","Fiji","FJI","Ireland","IRL","0.18117","0.024700001"
"2002","Fiji","FJI","Netherlands","NLD","2.4806099","3.6192999"
"2002","Fiji","FJI","Belgium","BEL","1.8776348","0"
"2002","Fiji","FJI","Luxembourg","LUX","0","0"
"2002","Fiji","FJI","France","FRA","6.7641201","0.65280002"
"2002","Fiji","FJI","Monaco","MCO","-9","-9"
"2002","Fiji","FJI","Liechtenstein","LIE","-9","-9"
"2002","Fiji","FJI","Switzerland","CHE","0.4555909","0.038220655"
"2002","Fiji","FJI","Spain","ESP","0.63844001","0.042599998"
"2002","Fiji","FJI","Andorra","AND","-9","-9"
"2002","Fiji","FJI","Portugal","PRT","0.15796","9.3324003"
"2002","Fiji","FJI","Germany","DEU","3.2978001","1.844"
"2002","Fiji","FJI","Poland","POL","0.01386","0.0038"
"2002","Fiji","FJI","Austria","AUT","0.037179999","0.0425"
"2002","Fiji","FJI","Hungary","HUN","0.0011","0.003"
"2002","Fiji","FJI","Czech Republic","CZE","0.067199133","0"
"2002","Fiji","FJI","Slovakia","SVK","0.014640033","0.000412242"
"2002","Fiji","FJI","Italy","ITA","2.84185","0.25799999"
"2002","Fiji","FJI","San Marino","SMR","-9","-9"
"2002","Fiji","FJI","Malta","MLT","0.002316081","0"
"2002","Fiji","FJI","Albania","ALB","0","0"
"2002","Fiji","FJI","Macedonia","MKD","0","0"
"2002","Fiji","FJI","Croatia","HRV","0","0.003266"
"2002","Fiji","FJI","Yugoslavia","YUG","-9","-9"
"2002","Fiji","FJI","Bosnia and Herzegovina","BIH","-9","-9"
"2002","Fiji","FJI","Slovenia","SVN","0.022063799","0.00847"
"2002","Fiji","FJI","Greece","GRC","0","0.003"
"2002","Fiji","FJI","Cyprus","CYP","0.009282057","0"
"2002","Fiji","FJI","Bulgaria","BGR","0.0231","0"
"2002","Fiji","FJI","Moldova","MDA","-9","-9"
"2002","Fiji","FJI","Romania","ROU","0","0"
"2002","Fiji","FJI","Russia","RUS","0","0"
"2002","Fiji","FJI","Estonia","EST","0","0"
"2002","Fiji","FJI","Latvia","LVA","0","0"
"2002","Fiji","FJI","Lithuania","LTU","0","0"
"2002","Fiji","FJI","Ukraine","UKR","0","0"
"2002","Fiji","FJI","Belarus","BLR","0","0"
"2002","Fiji","FJI","Armenia","ARM","-9","0"
"2002","Fiji","FJI","Georgia","GEO","-9","-9"
"2002","Fiji","FJI","Azerbaijan","AZE","0","0"
"2002","Fiji","FJI","Finland","FIN","0.1232","0.023"
"2002","Fiji","FJI","Sweden","SWE","0.56550276","0.12808444"
"2002","Fiji","FJI","Norway","NOR","0.02707096","0.016906781"
"2002","Fiji","FJI","Denmark","DNK","1.1425366","0.076000221"
"2002","Fiji","FJI","Iceland","ISL","0","0"
"2002","Fiji","FJI","Cape Verde","CPV","-9","-9"
"2002","Fiji","FJI","Sao Tome and Principe","STP","-9","-9"
"2002","Fiji","FJI","Guinea-Bissau","GNB","-9","-9"
"2002","Fiji","FJI","Equatorial Guinea","GNQ","0","0"
"2002","Fiji","FJI","Gambia","GMB","0","0"
"2002","Fiji","FJI","Mali","MLI","0.016793663","0.010979075"
"2002","Fiji","FJI","Senegal","SEN","0","0"
"2002","Fiji","FJI","Benin","BEN","-9","0"
"2002","Fiji","FJI","Mauritania","MRT","-9","0"
"2002","Fiji","FJI","Niger","NER","0","-9"
"2002","Fiji","FJI","Ivory Coast","CIV","0","0"
"2002","Fiji","FJI","Guinea","GIN","0","0"
"2002","Fiji","FJI","Burkina Faso","BFA","0","0"
"2002","Fiji","FJI","Liberia","LBR","0.002282779","0"
"2002","Fiji","FJI","Sierra Leone","SLE","0","0"
"2002","Fiji","FJI","Ghana","GHA","0","0"
"2002","Fiji","FJI","Togo","TGO","0.001183664","0.001534571"
"2002","Fiji","FJI","Cameroon","CMR","0","0"
"2002","Fiji","FJI","Nigeria","NGA","0","0.020831717"
"2002","Fiji","FJI","Gabon","GAB","0","0"
"2002","Fiji","FJI","Central African Republic","CAF","0","0"
"2002","Fiji","FJI","Chad","TCD","0","0"
"2002","Fiji","FJI","Congo","COG","0","0.001434745"
"2002","Fiji","FJI","Democratic Republic of the Congo","COD","-9","-9"
"2002","Fiji","FJI","Uganda","UGA","0","0"
"2002","Fiji","FJI","Kenya","KEN","0","0"
"2002","Fiji","FJI","Tanzania","TZA","0","5.07E-05"
"2002","Fiji","FJI","Burundi","BDI","0","-9"
"2002","Fiji","FJI","Rwanda","RWA","-9","-9"
"2002","Fiji","FJI","Somalia","SOM","-9","-9"
"2002","Fiji","FJI","Djibouti","DJI","-9","-9"
"2002","Fiji","FJI","Ethiopia","ETH","0","0"
"2002","Fiji","FJI","Eritrea","ERI","-9","-9"
"2002","Fiji","FJI","Angola","AGO","-9","-9"
"2002","Fiji","FJI","Mozambique","MOZ","0","0"
"2002","Fiji","FJI","Zambia","ZMB","0","0"
"2002","Fiji","FJI","Zimbabwe","ZWE","0.001197859","0.000254091"
"2002","Fiji","FJI","Malawi","MWI","0.31785715","0"
"2002","Fiji","FJI","South Africa","ZAF","1.4845774","0.02531407"
"2002","Fiji","FJI","Namibia","NAM","0","0"
"2002","Fiji","FJI","Lesotho","LSO","-9","-9"
"2002","Fiji","FJI","Botswana","BWA","-9","-9"
"2002","Fiji","FJI","Swaziland","SWZ","0.058942851","0"
"2002","Fiji","FJI","Madagascar","MDG","0","0.003477701"
"2002","Fiji","FJI","Comoros","COM","-9","-9"
"2002","Fiji","FJI","Mauritius","MUS","0","0.11173756"
"2002","Fiji","FJI","Seychelles","SYC","0","0"
"2002","Fiji","FJI","Morocco","MAR","0.001696825","0"
"2002","Fiji","FJI","Algeria","DZA","0","0"
"2002","Fiji","FJI","Tunisia","TUN","0","0"
"2002","Fiji","FJI","Libya","LBY","-9","-9"
"2002","Fiji","FJI","Sudan","SDN","0","0"
"2002","Fiji","FJI","Iran","IRN","0","0"
"2002","Fiji","FJI","Turkey","TUR","0.1377178","0.000375"
"2002","Fiji","FJI","Iraq","IRQ","0","0"
"2002","Fiji","FJI","Egypt","EGY","0","0"
"2002","Fiji","FJI","Syria","SYR","0","0"
"2002","Fiji","FJI","Lebanon","LBN","1.3495425","7.90E-05"
"2002","Fiji","FJI","Jordan","JOR","0","0"
"2002","Fiji","FJI","Israel","ISR","0","0"
"2002","Fiji","FJI","Saudi Arabia","SAU","0","0.019057866"
"2002","Fiji","FJI","Yemen","YEM","0","0.007897509"
"2002","Fiji","FJI","Kuwait","KWT","0","0.01127139"
"2002","Fiji","FJI","Bahrain","BHR","0","0.00054289"
"2002","Fiji","FJI","Qatar","QAT","0","0"
"2002","Fiji","FJI","United Arab Emirates","ARE","0","0"
"2002","Fiji","FJI","Oman","OMN","0.091089725","0"
"2002","Fiji","FJI","Afghanistan","AFG","0","0"
"2002","Fiji","FJI","Turkmenistan","TKM","-9","-9"
"2002","Fiji","FJI","Tajikistan","TJK","-9","-9"
"2002","Fiji","FJI","Kyrgyzstan","KGZ","-9","-9"
"2002","Fiji","FJI","Uzbekistan","UZB","-9","-9"
"2002","Fiji","FJI","Kazakhstan","KAZ","-9","0"
"2002","Fiji","FJI","China","CHN","53.548771","8.1816864"
"2002","Fiji","FJI","Mongolia","MNG","0","0.003"
"2002","Fiji","FJI","Taiwan","TWN","12.9338","0.17454545"
"2002","Fiji","FJI","North Korea","PRK","0.4367606","0.030753806"
"2002","Fiji","FJI","South Korea","KOR","11.785674","0.88749301"
"2002","Fiji","FJI","Japan","JPN","35.472759","42.885262"
"2002","Fiji","FJI","India","IND","24.868845","0.012291336"
"2002","Fiji","FJI","Bhutan","BTN","0","0"
"2002","Fiji","FJI","Pakistan","PAK","0.96651471","0"
"2002","Fiji","FJI","Bangladesh","BGD","0.058894645","0"
"2002","Fiji","FJI","Myanmar","MMR","0.021604175","0"
"2002","Fiji","FJI","Sri Lanka","LKA","1.1740317","0"
"2002","Fiji","FJI","Maldives","MDV","0","0"
"2002","Fiji","FJI","Nepal","NPL","0","0"
"2002","Fiji","FJI","Thailand","THA","17.947338","0.120331"
"2002","Fiji","FJI","Cambodia","KHM","0.000417016","0"
"2002","Fiji","FJI","Laos","LAO","0","0.028957369"
"2002","Fiji","FJI","Vietnam","VNM","0","0"
"2002","Fiji","FJI","Malaysia","MYS","11.153569","0.091337107"
"2002","Fiji","FJI","Singapore","SGP","134.45364","1.1773634"
"2002","Fiji","FJI","Brunei","BRN","0.04362601","0.003269143"
"2002","Fiji","FJI","Philippines","PHL","1.1715","0.107895"
"2002","Fiji","FJI","Indonesia","IDN","15.92404","2.4238999"
"2002","Fiji","FJI","East Timor","TLS","-9","-9"
"2002","Fiji","FJI","Australia","AUS","312.56488","131.87247"
"2002","Fiji","FJI","Papua New Guinea","PNG","1.6309519","3.5594516"
"2002","Fiji","FJI","New Zealand","NZL","143.65002","25.498331"
"2002","Fiji","FJI","Vanuatu","VUT","0.072734974","8.8689699"
"2002","Fiji","FJI","Solomon Islands","SLB","0.13630319","4.6295061"
"2002","Fiji","FJI","Kiribati","KIR","0.03769403","10.069045"
"2002","Fiji","FJI","Tuvalu","TUV","0.10528467","8.4970427"
"2002","Fiji","FJI","Tonga","TON","0.40446553","17.917698"
"2002","Fiji","FJI","Nauru","NRU","0","0.31467965"
"2002","Fiji","FJI","Marshall Islands","MHL","-9","-9"
"2002","Fiji","FJI","Palau","PLW","-9","-9"
"2002","Fiji","FJI","Federated States of Micronesia","FSM","-9","-9"
"2002","Fiji","FJI","Samoa","WSM","0.3333053","36.976875"
