"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2002","Peru","PER","United States of America","USA","2197.8884","2076.7"
"2002","Peru","PER","Canada","CAN","82.310379","204.91284"
"2002","Peru","PER","Bahamas","BHS","108.89451","16.051035"
"2002","Peru","PER","Cuba","CUB","0.40778971","0.8561694"
"2002","Peru","PER","Haiti","HTI","4.57E-05","11.194094"
"2002","Peru","PER","Dominican Republic","DOM","0.21022183","16.072113"
"2002","Peru","PER","Jamaica","JAM","0.94841892","0.68444902"
"2002","Peru","PER","Trinidad and Tobago","TTO","3.6972642","11.095119"
"2002","Peru","PER","Barbados","BRB","7.0742297","0.2111"
"2002","Peru","PER","Dominica","DMA","0.28065678","0.019087054"
"2002","Peru","PER","Grenada","GRD","0","0"
"2002","Peru","PER","St. Lucia","LCA","0","0.015465762"
"2002","Peru","PER","St. Vincent and the Grenadines","VCT","0.000765907","0.15787111"
"2002","Peru","PER","Antigua & Barbuda","ATG","0.0133637","0.12568025"
"2002","Peru","PER","St. Kitts and Nevis","KNA","0.007498237","0"
"2002","Peru","PER","Mexico","MEX","220.45284","167.52742"
"2002","Peru","PER","Belize","BLZ","15.189552","0"
"2002","Peru","PER","Guatemala","GTM","3.5983224","19.529902"
"2002","Peru","PER","Honduras","HND","0.17357603","8.3323946"
"2002","Peru","PER","El Salvador","SLV","0.32659492","24.777321"
"2002","Peru","PER","Nicaragua","NIC","0.18837966","3.0809014"
"2002","Peru","PER","Costa Rica","CRI","7.2097106","8.9791584"
"2002","Peru","PER","Panama","PAN","110.17919","9.4087296"
"2002","Peru","PER","Colombia","COL","363.51328","155.2897"
"2002","Peru","PER","Venezuela","VEN","264.59122","125.7465"
"2002","Peru","PER","Guyana","GUY","0.037648626","1.1178015"
"2002","Peru","PER","Suriname","SUR","0.087600574","0.063876428"
"2002","Peru","PER","Ecuador","ECU","167.04689","144.06674"
"2002","Peru","PER","Brazil","BRA","374.68469","238.79968"
"2002","Peru","PER","Bolivia","BOL","76.958229","94.98008"
"2002","Peru","PER","Paraguay","PRY","5.8014731","0.36380631"
"2002","Peru","PER","Chile","CHL","635.31592","255.89999"
"2002","Peru","PER","Argentina","ARG","313.21829","14.017821"
"2002","Peru","PER","Uruguay","URY","70.83712","5.5335913"
"2002","Peru","PER","United Kingdom","GBR","90.455894","236.00713"
"2002","Peru","PER","Ireland","IRL","15.738794","2.2511001"
"2002","Peru","PER","Netherlands","NLD","67.968361","107.3766"
"2002","Peru","PER","Belgium","BEL","52.091091","70.82"
"2002","Peru","PER","Luxembourg","LUX","0.98259997","0.025900001"
"2002","Peru","PER","France","FRA","97.180099","105.6301"
"2002","Peru","PER","Monaco","MCO","-9","-9"
"2002","Peru","PER","Liechtenstein","LIE","-9","-9"
"2002","Peru","PER","Switzerland","CHE","134.47206","9.5191984"
"2002","Peru","PER","Spain","ESP","666.47009","262.5564"
"2002","Peru","PER","Andorra","AND","-9","-9"
"2002","Peru","PER","Portugal","PRT","3.2044487","5.0282001"
"2002","Peru","PER","Germany","DEU","276.7709","286.871"
"2002","Peru","PER","Poland","POL","2.7837558","12.6406"
"2002","Peru","PER","Austria","AUT","33.455742","2.6494"
"2002","Peru","PER","Hungary","HUN","1.5836971","13.82"
"2002","Peru","PER","Czech Republic","CZE","4.3021622","7.7614999"
"2002","Peru","PER","Slovakia","SVK","0.35135269","5.9264631"
"2002","Peru","PER","Italy","ITA","145.99457","176.9359"
"2002","Peru","PER","San Marino","SMR","-9","-9"
"2002","Peru","PER","Malta","MLT","0.026839087","0.16008705"
"2002","Peru","PER","Albania","ALB","0.062765203","0.001263696"
"2002","Peru","PER","Macedonia","MKD","0","2.7354121"
"2002","Peru","PER","Croatia","HRV","0.023406509","3.516145"
"2002","Peru","PER","Yugoslavia","YUG","-9","-9"
"2002","Peru","PER","Bosnia and Herzegovina","BIH","0.014783612","0"
"2002","Peru","PER","Slovenia","SVN","0.27538115","1.084834"
"2002","Peru","PER","Greece","GRC","0.41600767","15.838"
"2002","Peru","PER","Cyprus","CYP","0.1792787","0.22813265"
"2002","Peru","PER","Bulgaria","BGR","8.5598316","35.837002"
"2002","Peru","PER","Moldova","MDA","0.01062309","0.0075"
"2002","Peru","PER","Romania","ROU","1.5736734","9.6999998"
"2002","Peru","PER","Russia","RUS","3.5830989","16.28936"
"2002","Peru","PER","Estonia","EST","0.99573386","0.89999998"
"2002","Peru","PER","Latvia","LVA","5.5019302","0.10838062"
"2002","Peru","PER","Lithuania","LTU","0.074953988","3.4482"
"2002","Peru","PER","Ukraine","UKR","2.4537983","1.2257299"
"2002","Peru","PER","Belarus","BLR","0.021358714","1.3953"
