"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2010","Grenada","GRD","United States of America","USA","78.209999","8.3000002"
"2010","Grenada","GRD","Canada","CAN","5.836194","0.64230567"
"2010","Grenada","GRD","Bahamas","BHS","0.43174294","0.000180371"
"2010","Grenada","GRD","Cuba","CUB","0.092317231","0"
"2010","Grenada","GRD","Haiti","HTI","0","0"
"2010","Grenada","GRD","Dominican Republic","DOM","2.2869756","0.023735991"
"2010","Grenada","GRD","Jamaica","JAM","2.3266914","0.284199"
"2010","Grenada","GRD","Trinidad and Tobago","TTO","195.32098","0.56351757"
"2010","Grenada","GRD","Barbados","BRB","15.226548","2.3890989"
"2010","Grenada","GRD","Dominica","DMA","1.3658539","7.6164627"
"2010","Grenada","GRD","St. Lucia","LCA","6.9442892","10.802264"
"2010","Grenada","GRD","St. Vincent and the Grenadines","VCT","5.8443127","1.0472002"
"2010","Grenada","GRD","Antigua & Barbuda","ATG","1.1365021","7.7349706"
"2010","Grenada","GRD","St. Kitts and Nevis","KNA","0.46945688","6.0268097"
"2010","Grenada","GRD","Mexico","MEX","0","0"
"2010","Grenada","GRD","Belize","BLZ","0.021152616","0.01106823"
"2010","Grenada","GRD","Guatemala","GTM","0.25014001","0.039999999"
"2010","Grenada","GRD","Honduras","HND","1.2012144","0"
"2010","Grenada","GRD","El Salvador","SLV","0.012143824","0.007731836"
"2010","Grenada","GRD","Nicaragua","NIC","0","0.0000354"
"2010","Grenada","GRD","Costa Rica","CRI","0.71415055","0.0431513"
"2010","Grenada","GRD","Panama","PAN","0.11977446","0"
"2010","Grenada","GRD","Colombia","COL","1.3993936","0.002458"
"2010","Grenada","GRD","Venezuela","VEN","5.2073998","0"
"2010","Grenada","GRD","Guyana","GUY","10.486778","0.53714526"
"2010","Grenada","GRD","Suriname","SUR","0.043508627","0.030808683"
"2010","Grenada","GRD","Ecuador","ECU","0.077542298","0"
"2010","Grenada","GRD","Peru","PER","0.043100201","8.80E-06"
"2010","Grenada","GRD","Brazil","BRA","7.905611","0.0082588"
"2010","Grenada","GRD","Bolivia","BOL","0","0"
"2010","Grenada","GRD","Paraguay","PRY","0","0"
"2010","Grenada","GRD","Chile","CHL","0.36918333","0.0010959"
"2010","Grenada","GRD","Argentina","ARG","0.54915631","7.00E-05"
"2010","Grenada","GRD","Uruguay","URY","0","0.014978923"
"2010","Grenada","GRD","United Kingdom","GBR","8.6960497","0.51230001"
"2010","Grenada","GRD","Ireland","IRL","0.24277","0.0006"
"2010","Grenada","GRD","Netherlands","NLD","4.24193","1.5835"
"2010","Grenada","GRD","Belgium","BEL","0.5291","0.70950001"
"2010","Grenada","GRD","Luxembourg","LUX","0","0"
"2010","Grenada","GRD","France","FRA","2.52109","1.1636"
"2010","Grenada","GRD","Monaco","MCO","-9","-9"
"2010","Grenada","GRD","Liechtenstein","LIE","-9","-9"
"2010","Grenada","GRD","Switzerland","CHE","0.10090403","0.026570974"
"2010","Grenada","GRD","Spain","ESP","0.34397","0"
"2010","Grenada","GRD","Andorra","AND","-9","-9"
"2010","Grenada","GRD","Portugal","PRT","0.00572","0"
"2010","Grenada","GRD","Germany","DEU","1.8049901","0.72839999"
"2010","Grenada","GRD","Poland","POL","0.00638","0"
"2010","Grenada","GRD","Austria","AUT","0.033440001","0.0166"
"2010","Grenada","GRD","Hungary","HUN","0","0"
"2010","Grenada","GRD","Czech Republic","CZE","0.00176","0"
"2010","Grenada","GRD","Slovakia","SVK","0","0.0101"
"2010","Grenada","GRD","Italy","ITA","0.94215","0.048"
"2010","Grenada","GRD","San Marino","SMR","-9","-9"
"2010","Grenada","GRD","Malta","MLT","0","0"
"2010","Grenada","GRD","Albania","ALB","0","0.003918202"
"2010","Grenada","GRD","Montenegro","MNE","0","0.006474701"
"2010","Grenada","GRD","Macedonia","MKD","0","8.98E-05"
"2010","Grenada","GRD","Croatia","HRV","0.0451","0.050000001"
"2010","Grenada","GRD","Yugoslavia","YUG","-9","-9"
"2010","Grenada","GRD","Bosnia and Herzegovina","BIH","-9","-9"
"2010","Grenada","GRD","Kosovo","KOS","-9","-9"
"2010","Grenada","GRD","Slovenia","SVN","0","0"
"2010","Grenada","GRD","Greece","GRC","0","0"
"2010","Grenada","GRD","Cyprus","CYP","0.02871","0"
"2010","Grenada","GRD","Bulgaria","BGR","0.00044","0"
"2010","Grenada","GRD","Moldova","MDA","-9","0"
"2010","Grenada","GRD","Romania","ROU","0","0"
"2010","Grenada","GRD","Russia","RUS","0","0"
"2010","Grenada","GRD","Estonia","EST","0.00473","0"
"2010","Grenada","GRD","Latvia","LVA","0.00099","0"
"2010","Grenada","GRD","Lithuania","LTU","0","0"
"2010","Grenada","GRD","Ukraine","UKR","0","0.003936"
"2010","Grenada","GRD","Belarus","BLR","0","0.0107"
"2010","Grenada","GRD","Armenia","ARM","-9","0.00520001"
"2010","Grenada","GRD","Georgia","GEO","0","0"
"2010","Grenada","GRD","Azerbaijan","AZE","0","0.0108"
"2010","Grenada","GRD","Finland","FIN","0.21340001","0"
"2010","Grenada","GRD","Sweden","SWE","0.30173001","0.0097"
"2010","Grenada","GRD","Norway","NOR","1.0825694","0.11986111"
"2010","Grenada","GRD","Denmark","DNK","1.24025","0.031099999"
"2010","Grenada","GRD","Iceland","ISL","0","0"
"2010","Grenada","GRD","Cape Verde","CPV","-9","-9"
"2010","Grenada","GRD","Sao Tome and Principe","STP","0","-9"
"2010","Grenada","GRD","Guinea-Bissau","GNB","-9","-9"
"2010","Grenada","GRD","Equatorial Guinea","GNQ","-9","-9"
"2010","Grenada","GRD","Gambia","GMB","0","0"
"2010","Grenada","GRD","Mali","MLI","0","-9"
"2010","Grenada","GRD","Senegal","SEN","0","0"
"2010","Grenada","GRD","Benin","BEN","0","0"
"2010","Grenada","GRD","Mauritania","MRT","-9","-9"
"2010","Grenada","GRD","Niger","NER","0","0"
"2010","Grenada","GRD","Ivory Coast","CIV","0","0.002153722"
"2010","Grenada","GRD","Guinea","GIN","0","0.059496947"
"2010","Grenada","GRD","Burkina Faso","BFA","-9","-9"
"2010","Grenada","GRD","Liberia","LBR","0","-9"
"2010","Grenada","GRD","Sierra Leone","SLE","0","-9"
"2010","Grenada","GRD","Ghana","GHA","0","0"
"2010","Grenada","GRD","Togo","TGO","0","0"
"2010","Grenada","GRD","Cameroon","CMR","0","0"
"2010","Grenada","GRD","Nigeria","NGA","0","38.07056"
"2010","Grenada","GRD","Gabon","GAB","0","-9"
"2010","Grenada","GRD","Central African Republic","CAF","0","0"
"2010","Grenada","GRD","Chad","TCD","0","-9"
"2010","Grenada","GRD","Congo","COG","-9","-9"
"2010","Grenada","GRD","Democratic Republic of the Congo","COD","-9","-9"
"2010","Grenada","GRD","Uganda","UGA","0","0.014370712"
"2010","Grenada","GRD","Kenya","KEN","0.032102399","0"
"2010","Grenada","GRD","Tanzania","TZA","0","0.15861605"
"2010","Grenada","GRD","Burundi","BDI","0","-9"
"2010","Grenada","GRD","Rwanda","RWA","0","-9"
"2010","Grenada","GRD","Somalia","SOM","0","0"
"2010","Grenada","GRD","Djibouti","DJI","-9","-9"
"2010","Grenada","GRD","Ethiopia","ETH","-9","-9"
"2010","Grenada","GRD","Eritrea","ERI","-9","-9"
"2010","Grenada","GRD","Angola","AGO","0","-9"
"2010","Grenada","GRD","Mozambique","MOZ","0","-9"
"2010","Grenada","GRD","Zambia","ZMB","0","0"
"2010","Grenada","GRD","Zimbabwe","ZWE","0","0.022871351"
"2010","Grenada","GRD","Malawi","MWI","0","-9"
"2010","Grenada","GRD","South Africa","ZAF","0.15000005","0.002045634"
"2010","Grenada","GRD","Namibia","NAM","0","-9"
"2010","Grenada","GRD","Lesotho","LSO","-9","0"
"2010","Grenada","GRD","Botswana","BWA","-9","-9"
"2010","Grenada","GRD","Swaziland","SWZ","0","0"
"2010","Grenada","GRD","Madagascar","MDG","0","0"
"2010","Grenada","GRD","Comoros","COM","-9","-9"
"2010","Grenada","GRD","Mauritius","MUS","0","0"
"2010","Grenada","GRD","Seychelles","SYC","0","-9"
"2010","Grenada","GRD","Morocco","MAR","0","0"
"2010","Grenada","GRD","Algeria","DZA","0","0.002527358"
"2010","Grenada","GRD","Tunisia","TUN","0","0.0018688"
"2010","Grenada","GRD","Libya","LBY","0","0"
"2010","Grenada","GRD","Sudan","SDN","0","-9"
"2010","Grenada","GRD","Iran","IRN","0","-9"
"2010","Grenada","GRD","Turkey","TUR","0.2448138","0"
"2010","Grenada","GRD","Iraq","IRQ","0","-9"
"2010","Grenada","GRD","Egypt","EGY","0.0002849","0.030703001"
"2010","Grenada","GRD","Syria","SYR","0","0"
"2010","Grenada","GRD","Lebanon","LBN","0","0"
"2010","Grenada","GRD","Jordan","JOR","0","0"
"2010","Grenada","GRD","Israel","ISR","0","0"
"2010","Grenada","GRD","Saudi Arabia","SAU","0","0.14607717"
"2010","Grenada","GRD","Yemen","YEM","0","0"
"2010","Grenada","GRD","Kuwait","KWT","0","-9"
"2010","Grenada","GRD","Bahrain","BHR","0","-9"
"2010","Grenada","GRD","Qatar","QAT","-9","-9"
"2010","Grenada","GRD","United Arab Emirates","ARE","0","-9"
"2010","Grenada","GRD","Oman","OMN","0","0"
"2010","Grenada","GRD","Afghanistan","AFG","0","-9"
"2010","Grenada","GRD","Turkmenistan","TKM","-9","-9"
"2010","Grenada","GRD","Tajikistan","TJK","-9","-9"
