"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2010","Taiwan","TWN","United States of America","USA","26027.301","37219.801"
"2010","Taiwan","TWN","Canada","CAN","1252.0284","4244.1538"
"2010","Taiwan","TWN","Bahamas","BHS","2.5654545","0.2827"
"2010","Taiwan","TWN","Cuba","CUB","4.1136365","1.8414"
"2010","Taiwan","TWN","Haiti","HTI","5.8190908","8.3765001"
"2010","Taiwan","TWN","Dominican Republic","DOM","33.938381","988.0304"
"2010","Taiwan","TWN","Jamaica","JAM","0.89088601","16.412024"
"2010","Taiwan","TWN","Trinidad and Tobago","TTO","127.12818","53.123402"
"2010","Taiwan","TWN","Barbados","BRB","2.9300001","3.7312"
"2010","Taiwan","TWN","Dominica","DMA","0.18000001","1.7226"
"2010","Taiwan","TWN","Grenada","GRD","0.48272726","0.67650002"
"2010","Taiwan","TWN","St. Lucia","LCA","0.24909091","1.9921"
"2010","Taiwan","TWN","St. Vincent and the Grenadines","VCT","0.31818181","1.1109999"
"2010","Taiwan","TWN","Antigua & Barbuda","ATG","-9","-9"
"2010","Taiwan","TWN","St. Kitts and Nevis","KNA","0.43454546","0.62040001"
"2010","Taiwan","TWN","Mexico","MEX","320.93332","6182.7617"
"2010","Taiwan","TWN","Belize","BLZ","1.7427273","6.2150002"
"2010","Taiwan","TWN","Guatemala","GTM","43.712399","93.339996"
"2010","Taiwan","TWN","Honduras","HND","23.450932","56.312527"
"2010","Taiwan","TWN","El Salvador","SLV","14.68364","96.698372"
"2010","Taiwan","TWN","Nicaragua","NIC","29.242172","16.86146"
"2010","Taiwan","TWN","Costa Rica","CRI","73.487076","87.003654"
"2010","Taiwan","TWN","Panama","PAN","35.774017","42.152332"
"2010","Taiwan","TWN","Colombia","COL","188.08661","339.26471"
"2010","Taiwan","TWN","Venezuela","VEN","8.4069996","123.06822"
"2010","Taiwan","TWN","Guyana","GUY","2.1227272","5.7728"
"2010","Taiwan","TWN","Suriname","SUR","0.59569663","1.3113607"
"2010","Taiwan","TWN","Ecuador","ECU","15.004663","168.23825"
"2010","Taiwan","TWN","Peru","PER","293.09229","360.62738"
"2010","Taiwan","TWN","Brazil","BRA","1737.6802","3414.3267"
"2010","Taiwan","TWN","Bolivia","BOL","0.61861998","29.196526"
"2010","Taiwan","TWN","Paraguay","PRY","5.21561","32.411247"
"2010","Taiwan","TWN","Chile","CHL","2067.3572","375.35901"
"2010","Taiwan","TWN","Argentina","ARG","220.80594","426.96881"
"2010","Taiwan","TWN","Uruguay","URY","3.9354546","127.8112"
"2010","Taiwan","TWN","United Kingdom","GBR","1451.7312","4428.0181"
"2010","Taiwan","TWN","Ireland","IRL","220.27991","176.9239"
"2010","Taiwan","TWN","Netherlands","NLD","3183.9192","5173.8013"
"2010","Taiwan","TWN","Belgium","BEL","636.66168","910.92419"
"2010","Taiwan","TWN","Luxembourg","LUX","17.097","41.587799"
"2010","Taiwan","TWN","France","FRA","1826.9941","2203.2527"
"2010","Taiwan","TWN","Monaco","MCO","-9","-9"
"2010","Taiwan","TWN","Liechtenstein","LIE","-9","-9"
"2010","Taiwan","TWN","Switzerland","CHE","1479.858","648.76959"
"2010","Taiwan","TWN","Spain","ESP","402.16159","1615.2896"
"2010","Taiwan","TWN","Andorra","AND","-9","-9"
"2010","Taiwan","TWN","Portugal","PRT","35.794201","190.7829"
"2010","Taiwan","TWN","Germany","DEU","6798.3135","6870.063"
"2010","Taiwan","TWN","Poland","POL","145.5744","1274.2114"
"2010","Taiwan","TWN","Austria","AUT","424.73169","517.51788"
"2010","Taiwan","TWN","Hungary","HUN","76.330803","1077.7516"
"2010","Taiwan","TWN","Czech Republic","CZE","101.9851","1117.6392"
"2010","Taiwan","TWN","Slovakia","SVK","15.1727","737.04901"
"2010","Taiwan","TWN","Italy","ITA","1324.0227","2683.1628"
"2010","Taiwan","TWN","San Marino","SMR","-9","-9"
"2010","Taiwan","TWN","Malta","MLT","2.0002999","33.965698"
"2010","Taiwan","TWN","Albania","ALB","0.038193513","0.16793264"
"2010","Taiwan","TWN","Montenegro","MNE","0.001700892","6.3458118"
"2010","Taiwan","TWN","Macedonia","MKD","1.3198293","23.684809"
