"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2011","Indonesia","IDN","United States of America","USA","10834.043","19991.699"
"2011","Indonesia","IDN","Canada","CAN","2015.8264","1590.7046"
"2011","Indonesia","IDN","Bahamas","BHS","0.81021398","1.2702239"
"2011","Indonesia","IDN","Cuba","CUB","1.6894391","16.709711"
"2011","Indonesia","IDN","Haiti","HTI","7.8014288","23.873253"
"2011","Indonesia","IDN","Dominican Republic","DOM","9.2989111","26.513536"
"2011","Indonesia","IDN","Jamaica","JAM","1.463167","12.979203"
"2011","Indonesia","IDN","Trinidad and Tobago","TTO","33.600994","9.0167513"
"2011","Indonesia","IDN","Barbados","BRB","0.98836201","3.1212642"
"2011","Indonesia","IDN","Dominica","DMA","0.610982","0.9757539"
"2011","Indonesia","IDN","Grenada","GRD","0.047610998","0.22938959"
"2011","Indonesia","IDN","St. Lucia","LCA","0.000107","0.5322504"
"2011","Indonesia","IDN","St. Vincent and the Grenadines","VCT","0.78090101","0.49289569"
"2011","Indonesia","IDN","Antigua & Barbuda","ATG","14.60551","0.31399801"
"2011","Indonesia","IDN","St. Kitts and Nevis","KNA","0.072745003","1.0442036"
"2011","Indonesia","IDN","Mexico","MEX","412.67014","1354.3525"
"2011","Indonesia","IDN","Belize","BLZ","3.958452","0.58400869"
"2011","Indonesia","IDN","Guatemala","GTM","41.129482","19.748301"
"2011","Indonesia","IDN","Honduras","HND","1.226144","18.882956"
"2011","Indonesia","IDN","El Salvador","SLV","1.750264","18.985847"
"2011","Indonesia","IDN","Nicaragua","NIC","0.103727","7.695776"
"2011","Indonesia","IDN","Costa Rica","CRI","9.421731","26.946606"
"2011","Indonesia","IDN","Panama","PAN","75.544296","7.9457259"
"2011","Indonesia","IDN","Colombia","COL","31.955816","198.40877"
"2011","Indonesia","IDN","Venezuela","VEN","0.86266297","84.665405"
"2011","Indonesia","IDN","Guyana","GUY","0.30096099","1.7764736"
"2011","Indonesia","IDN","Suriname","SUR","3.215064","1.0132657"
"2011","Indonesia","IDN","Ecuador","ECU","6.4787898","40.043678"
"2011","Indonesia","IDN","Peru","PER","51.388622","241.08469"
"2011","Indonesia","IDN","Brazil","BRA","1898.0648","2111.3481"
