"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2011","Oman","OMN","United States of America","USA","1393.1752","2288.8"
"2011","Oman","OMN","Canada","CAN","107.3612","21.350821"
"2011","Oman","OMN","Bahamas","BHS","0.16817164","0"
"2011","Oman","OMN","Cuba","CUB","0.038941484","0.025922237"
"2011","Oman","OMN","Haiti","HTI","0","0"
"2011","Oman","OMN","Dominican Republic","DOM","0.019276148","0.050299048"
"2011","Oman","OMN","Jamaica","JAM","3.00E-06","3.0958803"
"2011","Oman","OMN","Trinidad and Tobago","TTO","0","0.020864239"
"2011","Oman","OMN","Barbados","BRB","0.027630689","0"
"2011","Oman","OMN","Dominica","DMA","0","0.31256878"
"2011","Oman","OMN","Grenada","GRD","0","0.041513912"
"2011","Oman","OMN","St. Lucia","LCA","0","0"
"2011","Oman","OMN","St. Vincent and the Grenadines","VCT","-9","-9"
"2011","Oman","OMN","Antigua & Barbuda","ATG","0","0"
"2011","Oman","OMN","St. Kitts and Nevis","KNA","-9","-9"
"2011","Oman","OMN","Mexico","MEX","43.6185","15.802601"
"2011","Oman","OMN","Belize","BLZ","0.001612484","0"
"2011","Oman","OMN","Guatemala","GTM","1.0385566","0.043200001"
"2011","Oman","OMN","Honduras","HND","0.18595399","2.6362693"
"2011","Oman","OMN","El Salvador","SLV","0.059973992","0.14399426"
"2011","Oman","OMN","Nicaragua","NIC","0","0"
"2011","Oman","OMN","Costa Rica","CRI","0.89407021","0.1349877"
"2011","Oman","OMN","Panama","PAN","0","1.061381"
"2011","Oman","OMN","Colombia","COL","0.06080104","0.099979997"
"2011","Oman","OMN","Venezuela","VEN","0.027994798","0.034100398"
"2011","Oman","OMN","Guyana","GUY","0","0"
"2011","Oman","OMN","Suriname","SUR","0.000574772","0"
"2011","Oman","OMN","Ecuador","ECU","0.21484785","0.17165899"
"2011","Oman","OMN","Peru","PER","0.21381794","1.54E-05"
"2011","Oman","OMN","Brazil","BRA","625.98047","46.43132"
"2011","Oman","OMN","Bolivia","BOL","0","0.180153"
