"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2011","Tuvalu","TUV","United States of America","USA","0.80000001","0"
"2011","Tuvalu","TUV","Canada","CAN","-9","0"
"2011","Tuvalu","TUV","Bahamas","BHS","-9","-9"
"2011","Tuvalu","TUV","Cuba","CUB","-9","-9"
"2011","Tuvalu","TUV","Haiti","HTI","-9","-9"
"2011","Tuvalu","TUV","Dominican Republic","DOM","-9","-9"
"2011","Tuvalu","TUV","Jamaica","JAM","-9","-9"
"2011","Tuvalu","TUV","Trinidad and Tobago","TTO","-9","-9"
"2011","Tuvalu","TUV","Barbados","BRB","-9","-9"
"2011","Tuvalu","TUV","Dominica","DMA","-9","-9"
"2011","Tuvalu","TUV","Grenada","GRD","-9","-9"
"2011","Tuvalu","TUV","St. Lucia","LCA","-9","-9"
"2011","Tuvalu","TUV","St. Vincent and the Grenadines","VCT","-9","-9"
"2011","Tuvalu","TUV","Antigua & Barbuda","ATG","-9","-9"
"2011","Tuvalu","TUV","St. Kitts and Nevis","KNA","-9","-9"
"2011","Tuvalu","TUV","Mexico","MEX","0","0"
"2011","Tuvalu","TUV","Belize","BLZ","-9","-9"
"2011","Tuvalu","TUV","Guatemala","GTM","-9","-9"
"2011","Tuvalu","TUV","Honduras","HND","-9","-9"
"2011","Tuvalu","TUV","El Salvador","SLV","-9","-9"
"2011","Tuvalu","TUV","Nicaragua","NIC","-9","-9"
"2011","Tuvalu","TUV","Costa Rica","CRI","-9","0"
"2011","Tuvalu","TUV","Panama","PAN","-9","-9"
"2011","Tuvalu","TUV","Colombia","COL","0","0"
"2011","Tuvalu","TUV","Venezuela","VEN","-9","-9"
"2011","Tuvalu","TUV","Guyana","GUY","-9","-9"
"2011","Tuvalu","TUV","Suriname","SUR","-9","-9"
"2011","Tuvalu","TUV","Ecuador","ECU","-9","-9"
"2011","Tuvalu","TUV","Peru","PER","0","2.20E-06"
"2011","Tuvalu","TUV","Brazil","BRA","0","0.0000363"
"2011","Tuvalu","TUV","Bolivia","BOL","-9","0"
"2011","Tuvalu","TUV","Paraguay","PRY","-9","-9"
"2011","Tuvalu","TUV","Chile","CHL","0","0"
"2011","Tuvalu","TUV","Argentina","ARG","0","0"
"2011","Tuvalu","TUV","Uruguay","URY","-9","-9"
"2011","Tuvalu","TUV","United Kingdom","GBR","0","0.0136"
"2011","Tuvalu","TUV","Ireland","IRL","0","0.0007"
"2011","Tuvalu","TUV","Netherlands","NLD","0","0.0095"
"2011","Tuvalu","TUV","Belgium","BEL","0.0005","0.0264"
"2011","Tuvalu","TUV","Luxembourg","LUX","0","0"
"2011","Tuvalu","TUV","France","FRA","0","0.039000001"
"2011","Tuvalu","TUV","Monaco","MCO","-9","-9"
"2011","Tuvalu","TUV","Liechtenstein","LIE","-9","-9"
"2011","Tuvalu","TUV","Switzerland","CHE","0.000253736","0.33429807"
