"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2013","Tanzania","TZA","United States of America","USA","462.22","72.099998"
"2013","Tanzania","TZA","Canada","CAN","80.983749","9.0975428"
"2013","Tanzania","TZA","Bahamas","BHS","0.003536875","0"
"2013","Tanzania","TZA","Cuba","CUB","0.003311665","0"
"2013","Tanzania","TZA","Haiti","HTI","0","0"
"2013","Tanzania","TZA","Dominican Republic","DOM","0.17279531","0"
"2013","Tanzania","TZA","Jamaica","JAM","0","0"
"2013","Tanzania","TZA","Trinidad and Tobago","TTO","0.003887889","0.99607617"
"2013","Tanzania","TZA","Barbados","BRB","0","0.006784694"
"2013","Tanzania","TZA","Dominica","DMA","0.1340694","0.094218791"
"2013","Tanzania","TZA","Grenada","GRD","0.19504531","0"
"2013","Tanzania","TZA","St. Lucia","LCA","0","0"
"2013","Tanzania","TZA","St. Vincent and the Grenadines","VCT","0","0"
"2013","Tanzania","TZA","Antigua & Barbuda","ATG","0.032877348","0.20822541"
"2013","Tanzania","TZA","St. Kitts and Nevis","KNA","0.12503576","0"
"2013","Tanzania","TZA","Mexico","MEX","0","0"
"2013","Tanzania","TZA","Belize","BLZ","0.20446748","0"
"2013","Tanzania","TZA","Guatemala","GTM","0.53536999","0.0083"
"2013","Tanzania","TZA","Honduras","HND","1.1245538","0"
"2013","Tanzania","TZA","El Salvador","SLV","0","0.004148"
"2013","Tanzania","TZA","Nicaragua","NIC","0.0011","0"
"2013","Tanzania","TZA","Costa Rica","CRI","0.025047","0.017828001"
"2013","Tanzania","TZA","Panama","PAN","0","0"
"2013","Tanzania","TZA","Colombia","COL","2.381676","0.45314801"
"2013","Tanzania","TZA","Venezuela","VEN","0","0"
"2013","Tanzania","TZA","Guyana","GUY","0.45454955","0"
"2013","Tanzania","TZA","Suriname","SUR","0.007166666","0.004057333"
"2013","Tanzania","TZA","Ecuador","ECU","0.1171203","0.004543"
"2013","Tanzania","TZA","Peru","PER","1.0957397","0.0266497"
"2013","Tanzania","TZA","Brazil","BRA","26.606422","0.0012507"
"2013","Tanzania","TZA","Bolivia","BOL","0","0.061937999"
"2013","Tanzania","TZA","Paraguay","PRY","0","0"
"2013","Tanzania","TZA","Chile","CHL","2.3608606","0.08506918"
"2013","Tanzania","TZA","Argentina","ARG","11.020012","0.20324899"
"2013","Tanzania","TZA","Uruguay","URY","0.066633247","0"
"2013","Tanzania","TZA","United Kingdom","GBR","262.43503","36.699402"
"2013","Tanzania","TZA","Ireland","IRL","5.67589","0.85930002"
"2013","Tanzania","TZA","Netherlands","NLD","147.03711","88.971603"
"2013","Tanzania","TZA","Belgium","BEL","111.00254","81.973198"
"2013","Tanzania","TZA","Luxembourg","LUX","2.35004","0.0167"
"2013","Tanzania","TZA","France","FRA","121.04543","40.727699"
"2013","Tanzania","TZA","Monaco","MCO","-9","-9"
"2013","Tanzania","TZA","Liechtenstein","LIE","-9","-9"
"2013","Tanzania","TZA","Switzerland","CHE","22.208944","26.253557"
"2013","Tanzania","TZA","Spain","ESP","47.853519","27.3801"
"2013","Tanzania","TZA","Andorra","AND","-9","-9"
"2013","Tanzania","TZA","Portugal","PRT","3.44487","17.5945"
"2013","Tanzania","TZA","Germany","DEU","200.88036","168.8568"
"2013","Tanzania","TZA","Poland","POL","20.355061","26.728201"
"2013","Tanzania","TZA","Austria","AUT","10.86932","0.3644"
"2013","Tanzania","TZA","Hungary","HUN","3.3594","0.40369999"
"2013","Tanzania","TZA","Czech Republic","CZE","9.6344604","4.0668001"
"2013","Tanzania","TZA","Slovakia","SVK","0.64823002","0.071800001"
"2013","Tanzania","TZA","Italy","ITA","108.01813","63.0541"
"2013","Tanzania","TZA","San Marino","SMR","-9","-9"
"2013","Tanzania","TZA","Malta","MLT","0.00011","0.1109"
"2013","Tanzania","TZA","Albania","ALB","0.018616652","0"
"2013","Tanzania","TZA","Montenegro","MNE","0","0.020740688"
"2013","Tanzania","TZA","Macedonia","MKD","0.006857995","0.93321198"
"2013","Tanzania","TZA","Croatia","HRV","10.8603","0.071000002"
"2013","Tanzania","TZA","Yugoslavia","YUG","-9","-9"
"2013","Tanzania","TZA","Bosnia and Herzegovina","BIH","0","0.013212819"
"2013","Tanzania","TZA","Kosovo","KOS","-9","-9"
"2013","Tanzania","TZA","Slovenia","SVN","0.32912001","1.6744"
"2013","Tanzania","TZA","Greece","GRC","1.00661","7.8792"
"2013","Tanzania","TZA","Cyprus","CYP","3.3787601","0.075499997"
"2013","Tanzania","TZA","Bulgaria","BGR","4.0008101","69.956497"
"2013","Tanzania","TZA","Moldova","MDA","-9","-9"
"2013","Tanzania","TZA","Romania","ROU","1.52097","5.4986"
"2013","Tanzania","TZA","Russia","RUS","110.05442","68.214066"
"2013","Tanzania","TZA","Estonia","EST","0.13607","0"
"2013","Tanzania","TZA","Latvia","LVA","8.91891","0.018999999"
"2013","Tanzania","TZA","Lithuania","LTU","0.26763001","4.8474998"
"2013","Tanzania","TZA","Ukraine","UKR","22.473721","8.5870161"
"2013","Tanzania","TZA","Belarus","BLR","0.36399001","6.5416002"
"2013","Tanzania","TZA","Armenia","ARM","0.0482856","0.040899001"
"2013","Tanzania","TZA","Georgia","GEO","1.6201953","0.12474"
"2013","Tanzania","TZA","Azerbaijan","AZE","0","0"
"2013","Tanzania","TZA","Finland","FIN","14.02632","7.6111002"
"2013","Tanzania","TZA","Sweden","SWE","84.268471","5.6566"
"2013","Tanzania","TZA","Norway","NOR","28.790176","4.6703973"
"2013","Tanzania","TZA","Denmark","DNK","13.48204","15.5031"
"2013","Tanzania","TZA","Iceland","ISL","0","0.006870192"
"2013","Tanzania","TZA","Cape Verde","CPV","-9","-9"
"2013","Tanzania","TZA","Sao Tome and Principe","STP","0.012390164","0.000426605"
"2013","Tanzania","TZA","Guinea-Bissau","GNB","0","0"
"2013","Tanzania","TZA","Equatorial Guinea","GNQ","0","0"
"2013","Tanzania","TZA","Gambia","GMB","0.21442807","0.46713135"
"2013","Tanzania","TZA","Mali","MLI","0.28950581","3.070617"
"2013","Tanzania","TZA","Senegal","SEN","0.24019711","1.079636"
"2013","Tanzania","TZA","Benin","BEN","0","0.75463915"
"2013","Tanzania","TZA","Mauritania","MRT","0.005107492","0.13907757"
"2013","Tanzania","TZA","Niger","NER","0","0"
